方向,序号,约定净值,转换份额,角色,区间,备注
买入(天天红B→基金),1,2.22,60630.76,buy,,回撤建仓-3%
买入(天天红B→基金),2,2.15,88681.87,buy,,回撤建仓-6%
买入(天天红B→基金),3,2.08,118265.99,buy,,回撤建仓-9%
止盈(基金→天天红B),1,2.33,269780.77,trail_stop,ladder_1,台阶≥2.4后生效止损
止盈(基金→天天红B),2,2.42,263935.82,trail_stop,ladder_2,台阶≥2.52后生效止损
止盈(基金→天天红B),3,2.5,268172.14,trail_stop,ladder_3,台阶≥2.63后生效止损
止盈(基金→天天红B),4,2.58,270373.23,trail_stop,ladder_4,台阶≥2.74后生效止损
