方向,序号,约定净值,转换份额
买入(天天红B→基金),1,7.64,50000
买入(天天红B→基金),2,7.34,80000
买入(天天红B→基金),3,6.8,110000
止盈(基金→天天红B),1,8.1,50000
止盈(基金→天天红B),2,8.15,50000
止盈(基金→天天红B),3,8.24,50000
