方向,序号,约定净值,转换份额
买入(天天红B→基金),1,1.1,50000
买入(天天红B→基金),2,1.06,70000
买入(天天红B→基金),3,1.01,90000
买入(天天红B→基金),4,0.97,110000
买入(天天红B→基金),5,0.92,130000
止盈(基金→天天红B),1,1.14,50000
止盈(基金→天天红B),2,1.23,50000
止盈(基金→天天红B),3,1.32,50000
