score,position_pct,defensive_pct,date,rate_score,spread_score,pmi_score,cpi_score,m2_score,vix_score
50.0,0.5,0.0,2020-06-01,,,,,,
13.000000000000007,0.5449775112443779,0.4550224887556221,2020-07-01,0.0,0.0,-4.999999999999993,5.0,3.0,10.0
13.550000000000018,0.5532233883058474,0.4467766116941526,2020-08-03,0.0,0.0,-4.4499999999999815,5.0,3.0,10.0
26.19999999999999,0.74287856071964,0.25712143928036,2020-09-01,0.0,0.0,3.1999999999999886,10.0,3.0,10.0
25.94999999999998,0.7391304347826084,0.2608695652173916,2020-10-09,0.0,0.0,2.9499999999999815,10.0,3.0,10.0
26.250000000000007,0.7436281859070466,0.2563718140929534,2020-11-02,0.0,0.0,3.250000000000007,10.0,3.0,10.0
27.000000000000007,0.754872563718141,0.24512743628185896,2020-12-01,0.0,0.0,4.000000000000007,10.0,3.0,10.0
27.5,0.7623688155922039,0.23763118440779607,2021-01-04,0.0,0.0,4.5,10.0,3.0,10.0
22.599999999999994,0.6889055472263867,0.31109445277361325,2021-02-01,0.0,0.0,4.599999999999994,5.0,3.0,10.0
22.400000000000006,0.6859070464767617,0.3140929535232383,2021-03-01,0.0,0.0,4.400000000000006,5.0,3.0,10.0
22.599999999999994,0.6889055472263867,0.31109445277361325,2021-04-01,0.0,0.0,4.599999999999994,5.0,3.0,10.0
22.450000000000024,0.6866566716641682,0.3133433283358318,2021-05-06,0.0,0.0,4.450000000000024,5.0,3.0,10.0
21.900000000000013,0.6784107946026988,0.3215892053973012,2021-06-01,0.0,0.0,3.900000000000013,5.0,3.0,10.0
21.4,0.6709145427286356,0.3290854572713644,2021-07-01,0.0,0.0,3.3999999999999986,5.0,3.0,10.0
20.94999999999998,0.6641679160419787,0.33583208395802133,2021-08-02,0.0,0.0,2.9499999999999815,5.0,3.0,10.0
20.700000000000017,0.6604197901049478,0.3395802098950522,2021-09-01,0.0,0.0,2.700000000000017,5.0,3.0,10.0
19.55000000000002,0.643178410794603,0.35682158920539697,2021-10-08,0.0,0.0,1.5500000000000185,5.0,3.0,10.0
23.599999999999987,0.7038980509745125,0.2961019490254875,2021-11-01,0.0,0.0,0.5999999999999872,10.0,3.0,10.0
23.150000000000013,0.6971514242878563,0.30284857571214374,2021-12-01,0.0,0.0,0.1500000000000128,10.0,3.0,10.0
22.849999999999987,0.6926536731634181,0.3073463268365819,2022-01-04,0.0,0.0,-0.1500000000000128,10.0,3.0,10.0
22.700000000000017,0.6904047976011997,0.30959520239880034,2022-02-07,0.0,0.0,-0.29999999999998295,10.0,3.0,10.0
22.749999999999993,0.6911544227886056,0.3088455772113944,2022-03-01,0.0,0.0,-0.2500000000000071,10.0,3.0,10.0
22.700000000000017,0.6904047976011997,0.30959520239880034,2022-04-01,0.0,0.0,-0.29999999999998295,10.0,3.0,10.0
21.799999999999983,0.6769115442278858,0.3230884557721142,2022-05-05,0.0,0.0,-1.200000000000017,10.0,3.0,10.0
21.55000000000002,0.6731634182908548,0.3268365817091452,2022-06-01,0.0,0.0,-1.4499999999999815,10.0,3.0,10.0
21.5,0.6724137931034483,0.3275862068965517,2022-07-01,0.0,0.0,-1.5,10.0,3.0,10.0
20.94999999999999,0.6641679160419789,0.3358320839580211,2022-08-01,0.0,0.0,-2.0500000000000114,10.0,3.0,10.0
20.54999999999999,0.6581709145427285,0.34182908545727153,2022-09-01,0.0,0.0,-2.45000000000001,10.0,3.0,10.0
20.849999999999994,0.6626686656671663,0.3373313343328337,2022-10-10,0.0,0.0,-2.1500000000000057,10.0,3.0,10.0
21.750000000000007,0.6761619190404798,0.32383808095952016,2022-11-01,0.0,0.0,-1.249999999999993,10.0,3.0,10.0
20.94999999999999,0.6641679160419789,0.3358320839580211,2022-12-01,0.0,0.0,-2.0500000000000114,10.0,3.0,10.0
19.349999999999994,0.6401799100449774,0.35982008995502257,2023-01-03,0.0,0.0,-3.6500000000000057,10.0,3.0,10.0
19.900000000000006,0.6484257871064468,0.3515742128935532,2023-02-01,0.0,0.0,-3.0999999999999943,10.0,3.0,10.0
21.5,0.6724137931034483,0.3275862068965517,2023-03-01,0.0,0.0,-1.5,10.0,3.0,10.0
22.39999999999997,0.6859070464767612,0.31409295352323885,2023-04-03,0.0,0.0,-0.6000000000000298,10.0,3.0,10.0
22.400000000000013,0.6859070464767618,0.3140929535232382,2023-05-04,0.0,0.0,-0.5999999999999872,10.0,3.0,10.0
17.80000000000001,0.6169415292353825,0.3830584707646175,2023-06-01,0.0,0.0,-0.19999999999998863,5.0,3.0,10.0
18.80000000000002,0.6319340329835085,0.3680659670164915,2023-07-03,0.0,0.0,0.8000000000000185,5.0,3.0,10.0
18.4,0.6259370314842578,0.37406296851574217,2023-08-01,0.0,0.0,0.3999999999999986,5.0,3.0,10.0
16.949999999999996,0.6041979010494752,0.39580209895052476,2023-09-01,0.0,0.0,-1.0500000000000043,5.0,3.0,10.0
16.1,0.5914542728635682,0.4085457271364318,2023-10-09,0.0,0.0,-1.8999999999999986,5.0,3.0,10.0
1.249999999999993,0.4124999999999999,0.5875000000000001,2023-11-01,0.0,0.0,-1.750000000000007,-10.0,3.0,10.0
1.5499999999999758,0.41549999999999976,0.5845000000000002,2023-12-01,0.0,0.0,-1.4500000000000242,-10.0,3.0,10.0
1.5500000000000185,0.4155000000000002,0.5844999999999998,2024-01-02,0.0,0.0,-1.4499999999999815,-10.0,3.0,10.0
1.5,0.415,0.585,2024-02-01,0.0,0.0,-1.5,-10.0,3.0,10.0
1.200000000000017,0.41200000000000014,0.5879999999999999,2024-03-01,0.0,0.0,-1.799999999999983,-10.0,3.0,10.0
1.5,0.415,0.585,2024-04-01,0.0,0.0,-1.5,-10.0,3.0,10.0
1.9499999999999957,0.41949999999999993,0.5805,2024-05-06,0.0,0.0,-1.0500000000000043,-10.0,3.0,10.0
16.999999999999993,0.6049475262368814,0.3950524737631186,2024-06-03,0.0,0.0,-1.000000000000007,5.0,3.0,10.0
17.25,0.6086956521739131,0.3913043478260869,2024-07-01,0.0,0.0,-0.75,5.0,3.0,10.0
17.349999999999994,0.6101949025487255,0.38980509745127445,2024-08-01,0.0,0.0,-0.6500000000000057,5.0,3.0,10.0
17.349999999999994,0.6101949025487255,0.38980509745127445,2024-09-02,0.0,0.0,-0.6500000000000057,5.0,3.0,10.0
16.85,0.6026986506746627,0.39730134932533734,2024-10-08,0.0,0.0,-1.1499999999999986,5.0,3.0,10.0
16.70000000000001,0.6004497751124439,0.3995502248875561,2024-11-01,0.0,0.0,-1.29999999999999,5.0,3.0,10.0
17.099999999999987,0.606446776611694,0.393553223388306,2024-12-02,0.0,0.0,-0.9000000000000128,5.0,3.0,10.0
17.400000000000013,0.6109445277361321,0.38905547226386794,2025-01-02,0.0,0.0,-0.5999999999999872,5.0,3.0,10.0
17.25,0.6086956521739131,0.3913043478260869,2025-02-05,0.0,0.0,-0.75,5.0,3.0,10.0
17.79999999999999,0.6169415292353821,0.38305847076461785,2025-03-03,0.0,0.0,-0.20000000000000995,5.0,3.0,10.0
18.150000000000013,0.6221889055472266,0.3778110944527734,2025-04-01,0.0,0.0,0.1500000000000128,5.0,3.0,10.0
2.6000000000000014,0.426,0.5740000000000001,2025-05-06,0.0,0.0,-0.3999999999999986,-10.0,3.0,10.0
2.1999999999999815,0.4219999999999998,0.5780000000000002,2025-06-03,0.0,0.0,-0.8000000000000185,-10.0,3.0,10.0
1.999999999999993,0.41999999999999993,0.5800000000000001,2025-07-01,0.0,0.0,-1.000000000000007,-10.0,3.0,10.0
2.099999999999987,0.4209999999999999,0.5790000000000002,2025-08-01,0.0,0.0,-0.9000000000000128,-10.0,3.0,10.0
1.6999999999999886,0.41699999999999987,0.5830000000000002,2025-09-01,0.0,0.0,-1.3000000000000114,-10.0,3.0,10.0
1.3499999999999872,0.41349999999999987,0.5865000000000001,2025-10-09,0.0,0.0,-1.6500000000000128,-10.0,3.0,10.0
1.3499999999999872,0.41349999999999987,0.5865000000000001,2025-11-03,0.0,0.0,-1.6500000000000128,-10.0,3.0,10.0
16.199999999999996,0.5929535232383807,0.4070464767616193,2025-12-01,0.0,0.0,-1.8000000000000043,5.0,3.0,10.0
16.400000000000006,0.5959520239880061,0.40404797601199394,2026-01-05,0.0,0.0,-1.5999999999999943,5.0,3.0,10.0
16.399999999999984,0.5959520239880057,0.40404797601199427,2026-02-02,0.0,0.0,-1.6000000000000156,5.0,3.0,10.0
16.199999999999996,0.5929535232383807,0.4070464767616193,2026-03-02,0.0,0.0,-1.8000000000000043,5.0,3.0,10.0
16.5,0.5974512743628186,0.40254872563718136,2026-04-01,0.0,0.0,-1.5,5.0,3.0,10.0
17.150000000000006,0.6071964017991005,0.3928035982008995,2026-05-06,0.0,0.0,-0.8499999999999943,5.0,3.0,10.0
17.550000000000004,0.6131934032983509,0.3868065967016491,2026-06-01,0.0,0.0,-0.44999999999999574,5.0,3.0,10.0
17.65,0.6146926536731634,0.3853073463268366,2026-07-01,0.0,0.0,-0.3500000000000014,5.0,3.0,10.0
