date,open,high,low,close,volume,etf_name
2020-01-02,27.22,27.95,26.72,27.68,759307,立讯精密
2020-01-03,27.84,28.41,27.3,27.43,534347,立讯精密
2020-01-06,27.22,28.57,27.07,28.07,747447,立讯精密
2020-01-07,28.09,28.39,27.68,28.22,439450,立讯精密
2020-01-08,27.76,28.18,27.46,27.5,437551,立讯精密
2020-01-09,27.67,29.75,27.67,29.5,886439,立讯精密
2020-01-10,29.78,29.98,29.2,29.32,531655,立讯精密
2020-01-13,29.52,30.99,29.07,30.67,673724,立讯精密
2020-01-14,31.06,31.98,30.75,30.94,564730,立讯精密
2020-01-15,30.91,32.38,30.68,32.38,545168,立讯精密
2020-01-16,31.84,32.07,31.42,31.68,704864,立讯精密
2020-01-17,31.62,31.95,30.68,30.99,668548,立讯精密
2020-01-20,30.92,32.82,30.92,32.3,756048,立讯精密
2020-01-21,32.22,32.84,31.91,32.7,531396,立讯精密
2020-01-22,32.22,35.32,31.59,35.07,695121,立讯精密
2020-01-23,34.15,34.81,32.68,33.49,760077,立讯精密
2020-02-03,30.02,31.56,30.02,30.07,1184279,立讯精密
2020-02-04,30.75,33.04,30.69,33.04,1065875,立讯精密
2020-02-05,32.75,34.9,32.61,33.08,950860,立讯精密
2020-02-06,32.84,33.57,31.95,33.01,832352,立讯精密
2020-02-07,32.53,32.53,31.15,31.67,1097290,立讯精密
2020-02-10,30.7,32.1,30.44,32.01,796364,立讯精密
2020-02-11,31.84,34.41,31.68,33.76,1073094,立讯精密
2020-02-12,33.38,33.71,32.88,33.45,732763,立讯精密
2020-02-13,33.38,33.76,32.61,32.68,643391,立讯精密
2020-02-14,32.33,33.61,32.33,32.88,571538,立讯精密
2020-02-17,32.95,34.31,32.94,34.27,845440,立讯精密
2020-02-18,34.15,34.23,33.07,34.03,905737,立讯精密
2020-02-19,33.49,35.31,33.26,34.21,911999,立讯精密
2020-02-20,34.88,37.34,34.88,36.99,1160171,立讯精密
2020-02-21,36.38,38.25,36.21,37.49,817229,立讯精密
2020-02-24,37.23,38.48,36.49,37.99,776499,立讯精密
2020-02-25,36.81,38.36,36.03,38.02,936915,立讯精密
2020-02-26,37.08,37.31,34.92,35.38,960565,立讯精密
2020-02-27,35.38,36.24,34.48,34.73,758947,立讯精密
2020-02-28,34.73,36.76,34.61,35.53,1668784,立讯精密
2020-03-02,35.69,36.84,34.16,36.14,1325611,立讯精密
2020-03-03,37.26,37.68,35.16,35.76,1048221,立讯精密
2020-03-04,35.53,35.96,33.15,34.01,1233173,立讯精密
2020-03-05,34.63,35.02,32.85,33.75,1005894,立讯精密
2020-03-06,33.22,34.41,32.89,33.81,685798,立讯精密
2020-03-09,32.8,33.31,31.26,31.44,1021807,立讯精密
2020-03-10,31.17,33.83,31.17,33.51,1138046,立讯精密
2020-03-11,33.91,34.03,32.58,32.58,733967,立讯精密
2020-03-12,31.38,32.67,31.18,32.01,651610,立讯精密
2020-03-13,29.65,32.95,29.61,31.81,847163,立讯精密
2020-03-16,31.61,31.67,28.5,28.5,1402451,立讯精密
2020-03-17,28.91,29.49,26.11,27.73,1276810,立讯精密
2020-03-18,28.07,29.35,27.38,27.55,969424,立讯精密
2020-03-19,27.38,28.05,26.17,27.36,1223729,立讯精密
2020-03-20,27.86,28.45,27.22,28.16,1059396,立讯精密
2020-03-23,26.55,27.07,25.22,25.22,1319124,立讯精密
2020-03-24,25.99,26.2,24.84,26.0,1001009,立讯精密
2020-03-25,27.36,28.72,27.34,28.72,1388617,立讯精密
2020-03-26,28.38,28.4,27.49,27.49,986156,立讯精密
2020-03-27,28.26,28.26,26.65,27.26,915621,立讯精密
2020-03-30,26.57,28.45,26.31,28.13,1260316,立讯精密
2020-03-31,28.68,28.85,27.71,28.11,677098,立讯精密
2020-04-01,27.99,30.05,27.91,28.8,987491,立讯精密
2020-04-02,28.49,31.27,28.47,31.05,1087659,立讯精密
2020-04-03,30.45,31.11,29.84,30.48,789301,立讯精密
2020-04-07,31.84,31.84,30.71,31.19,827870,立讯精密
2020-04-08,31.07,32.38,30.77,31.37,847944,立讯精密
2020-04-09,31.44,31.58,30.3,30.48,617363,立讯精密
2020-04-10,30.3,30.3,28.94,29.26,792586,立讯精密
2020-04-13,28.59,29.25,28.11,28.94,496856,立讯精密
2020-04-14,29.28,30.51,29.15,30.51,754025,立讯精密
2020-04-15,30.68,31.38,30.26,30.51,738878,立讯精密
2020-04-16,30.06,30.68,29.61,30.51,399446,立讯精密
2020-04-17,31.67,31.99,30.92,31.14,837565,立讯精密
2020-04-20,30.97,31.45,30.82,31.37,386793,立讯精密
2020-04-21,31.07,31.25,29.75,30.61,670748,立讯精密
2020-04-22,30.32,31.01,30.04,30.95,409661,立讯精密
2020-04-23,31.07,31.22,30.58,30.65,374811,立讯精密
2020-04-24,30.58,31.13,30.12,30.48,466931,立讯精密
2020-04-27,30.8,31.15,29.98,31.05,432375,立讯精密
2020-04-28,31.92,34.23,31.58,33.76,1391618,立讯精密
2020-04-29,33.57,34.28,33.22,34.22,592439,立讯精密
2020-04-30,34.76,35.84,34.65,35.15,779093,立讯精密
2020-05-06,34.61,35.55,34.41,35.31,798790,立讯精密
2020-05-07,35.5,35.96,34.72,34.81,514456,立讯精密
2020-05-08,35.07,35.67,34.54,35.11,520445,立讯精密
2020-05-11,35.52,35.57,34.31,34.64,562514,立讯精密
2020-05-12,34.41,35.59,34.12,35.42,634561,立讯精密
2020-05-13,34.91,37.22,34.42,36.8,1039515,立讯精密
2020-05-14,36.0,36.99,35.96,36.31,579818,立讯精密
2020-05-15,36.34,36.51,35.81,35.86,517717,立讯精密
2020-05-18,34.76,34.88,33.51,33.71,1127494,立讯精密
2020-05-19,34.38,35.25,34.32,34.81,659658,立讯精密
2020-05-20,35.06,35.3,34.04,34.31,576438,立讯精密
2020-05-21,34.36,34.9,34.07,34.15,464200,立讯精密
2020-05-22,33.98,33.98,32.86,33.03,563598,立讯精密
2020-05-25,32.91,33.13,32.18,32.71,450602,立讯精密
2020-05-26,33.21,34.5,33.05,34.15,617092,立讯精密
2020-05-27,33.91,33.92,32.76,33.02,451314,立讯精密
2020-05-28,32.65,33.14,32.07,32.95,436834,立讯精密
2020-05-29,32.62,33.67,32.38,32.99,386208,立讯精密
2020-06-01,33.99,36.1,33.99,35.62,949180,立讯精密
2020-06-02,35.68,36.38,35.57,35.93,671230,立讯精密
2020-06-03,36.22,38.9,35.69,37.76,1091091,立讯精密
2020-06-04,38.05,38.5,37.05,37.38,556827,立讯精密
2020-06-05,37.61,38.96,37.03,38.65,686880,立讯精密
2020-06-08,39.15,40.41,37.61,38.11,759508,立讯精密
