date,close
2019-01-02,0.914
2019-01-03,0.913
2019-01-04,0.94
2019-01-07,0.957
2019-01-08,0.95
2019-01-09,0.946
2019-01-10,0.941
2019-01-11,0.95
2019-01-14,0.94
2019-01-15,0.953
2019-01-16,0.951
2019-01-17,0.939
2019-01-18,0.952
2019-01-21,0.953
2019-01-22,0.937
2019-01-23,0.941
2019-01-24,0.96
2019-01-25,0.951
2019-01-28,0.943
2019-01-29,0.925
2019-01-30,0.906
2019-01-31,0.896
2019-02-01,0.923
2019-02-11,0.945
2019-02-12,0.955
2019-02-13,0.977
2019-02-14,0.978
2019-02-15,0.97
2019-02-18,1.012
2019-02-19,1.026
2019-02-20,1.019
2019-02-21,1.016
2019-02-22,1.052
2019-02-25,1.117
2019-02-26,1.113
2019-02-27,1.106
2019-02-28,1.114
2019-03-01,1.121
2019-03-04,1.143
2019-03-05,1.189
2019-03-06,1.215
2019-03-07,1.234
2019-03-08,1.217
2019-03-11,1.261
2019-03-12,1.296
2019-03-13,1.24
2019-03-14,1.207
2019-03-15,1.199
2019-03-18,1.231
2019-03-19,1.255
2019-03-20,1.248
2019-03-21,1.27
2019-03-22,1.267
2019-03-25,1.26
2019-03-26,1.235
2019-03-27,1.23
2019-03-28,1.211
2019-03-29,1.254
2019-04-01,1.305
2019-04-02,1.296
2019-04-03,1.308
2019-04-04,1.309
2019-04-08,1.288
2019-04-09,1.293
2019-04-10,1.268
2019-04-11,1.242
2019-04-12,1.243
2019-04-15,1.227
2019-04-16,1.258
2019-04-17,1.254
2019-04-18,1.253
2019-04-19,1.273
2019-04-22,1.264
2019-04-23,1.25
2019-04-24,1.259
2019-04-25,1.212
2019-04-26,1.202
2019-04-29,1.159
2019-04-30,1.163
2019-05-06,1.069
2019-05-07,1.072
2019-05-08,1.071
2019-05-09,1.071
2019-05-10,1.123
2019-05-13,1.11
2019-05-14,1.097
2019-05-15,1.108
2019-05-16,1.109
2019-05-17,1.075
2019-05-20,1.09
2019-05-21,1.105
2019-05-22,1.118
2019-05-23,1.1
2019-05-24,1.076
2019-05-27,1.122
2019-05-28,1.121
2019-05-29,1.119
2019-05-30,1.111
2019-05-31,1.103
2019-06-03,1.094
2019-06-04,1.08
2019-06-05,1.083
2019-06-06,1.065
2019-06-10,1.073
2019-06-11,1.111
2019-06-12,1.101
2019-06-13,1.103
2019-06-14,1.08
2019-06-17,1.078
2019-06-18,1.082
2019-06-19,1.104
2019-06-20,1.127
2019-06-21,1.161
2019-06-24,1.16
2019-06-25,1.151
2019-06-26,1.14
2019-06-27,1.151
2019-06-28,1.138
2019-06-30,1.138
2019-07-01,1.17
2019-07-02,1.163
2019-07-03,1.144
2019-07-04,1.142
2019-07-05,1.148
2019-07-08,1.112
2019-07-09,1.124
2019-07-10,1.121
2019-07-11,1.115
2019-07-12,1.118
2019-07-15,1.146
2019-07-16,1.142
2019-07-17,1.143
2019-07-18,1.122
2019-07-19,1.136
2019-07-22,1.111
2019-07-23,1.127
2019-07-24,1.143
2019-07-25,1.146
2019-07-26,1.141
2019-07-29,1.141
2019-07-30,1.151
2019-07-31,1.142
2019-08-01,1.139
2019-08-02,1.131
2019-08-05,1.111
2019-08-06,1.086
2019-08-07,1.077
2019-08-08,1.082
2019-08-09,1.079
2019-08-12,1.097
2019-08-13,1.086
2019-08-14,1.089
2019-08-15,1.114
2019-08-16,1.13
2019-08-19,1.178
2019-08-20,1.176
2019-08-21,1.174
2019-08-22,1.178
2019-08-23,1.172
2019-08-26,1.163
2019-08-27,1.187
2019-08-28,1.189
2019-08-29,1.205
2019-08-30,1.205
2019-09-02,1.265
2019-09-03,1.28
2019-09-04,1.293
2019-09-05,1.309
2019-09-06,1.314
2019-09-09,1.353
2019-09-10,1.33
2019-09-11,1.324
2019-09-12,1.336
2019-09-16,1.355
2019-09-17,1.323
2019-09-18,1.311
2019-09-19,1.331
2019-09-20,1.322
2019-09-23,1.33
2019-09-24,1.321
2019-09-25,1.293
2019-09-26,1.252
2019-09-27,1.278
2019-09-30,1.263
2019-10-08,1.254
2019-10-09,1.264
2019-10-10,1.286
2019-10-11,1.286
2019-10-14,1.31
2019-10-15,1.282
2019-10-16,1.282
2019-10-17,1.286
2019-10-18,1.266
2019-10-21,1.264
2019-10-22,1.291
2019-10-23,1.273
2019-10-24,1.277
2019-10-25,1.295
2019-10-28,1.332
2019-10-29,1.291
2019-10-30,1.285
2019-10-31,1.276
2019-11-01,1.281
2019-11-04,1.291
2019-11-05,1.307
2019-11-06,1.293
2019-11-07,1.308
2019-11-08,1.31
2019-11-11,1.287
2019-11-12,1.287
2019-11-13,1.294
2019-11-14,1.304
2019-11-15,1.306
2019-11-18,1.315
2019-11-19,1.351
2019-11-20,1.355
2019-11-21,1.357
2019-11-22,1.319
2019-11-25,1.291
2019-11-26,1.302
2019-11-27,1.301
2019-11-28,1.292
2019-11-29,1.293
2019-12-02,1.304
2019-12-03,1.312
2019-12-04,1.318
2019-12-05,1.333
2019-12-06,1.344
2019-12-09,1.35
2019-12-10,1.373
2019-12-11,1.36
2019-12-12,1.368
2019-12-13,1.403
2019-12-16,1.437
2019-12-17,1.439
2019-12-18,1.436
2019-12-19,1.446
2019-12-20,1.433
2019-12-23,1.39
2019-12-24,1.406
2019-12-25,1.416
2019-12-26,1.417
2019-12-27,1.391
2019-12-30,1.399
2019-12-31,1.401
2020-01-02,1.439
2020-01-03,1.441
2020-01-06,1.459
2020-01-07,1.483
2020-01-08,1.446
2020-01-09,1.497
2020-01-10,1.488
2020-01-13,1.508
2020-01-14,1.482
2020-01-15,1.498
2020-01-16,1.499
2020-01-17,1.483
2020-01-20,1.494
2020-01-21,1.471
2020-01-22,1.49
2020-01-23,1.431
2020-02-03,1.3
2020-02-04,1.337
2020-02-05,1.36
2020-02-06,1.427
2020-02-07,1.465
2020-02-10,1.485
2020-02-11,1.48
2020-02-12,1.547
2020-02-13,1.528
2020-02-14,1.528
2020-02-17,1.595
2020-02-18,1.624
2020-02-19,1.603
2020-02-20,1.645
2020-02-21,1.674
2020-02-24,1.675
2020-02-25,1.657
2020-02-26,1.581
2020-02-27,1.609
2020-02-28,1.522
2020-03-02,1.579
2020-03-03,1.588
2020-03-04,1.587
2020-03-05,1.602
2020-03-06,1.591
2020-03-09,1.511
2020-03-10,1.571
2020-03-11,1.54
2020-03-12,1.517
2020-03-13,1.521
2020-03-16,1.431
2020-03-17,1.439
2020-03-18,1.405
2020-03-19,1.408
2020-03-20,1.446
2020-03-23,1.387
2020-03-24,1.425
2020-03-25,1.447
2020-03-26,1.425
2020-03-27,1.412
2020-03-30,1.35
2020-03-31,1.333
2020-04-01,1.328
2020-04-02,1.381
2020-04-03,1.37
2020-04-07,1.403
2020-04-08,1.409
2020-04-09,1.442
2020-04-10,1.403
2020-04-13,1.375
2020-04-14,1.406
2020-04-15,1.395
2020-04-16,1.417
2020-04-17,1.422
2020-04-20,1.432
2020-04-21,1.423
2020-04-22,1.425
2020-04-23,1.406
2020-04-24,1.384
2020-04-27,1.378
2020-04-28,1.372
2020-04-29,1.389
2020-04-30,1.443
2020-05-06,1.448
2020-05-07,1.442
2020-05-08,1.462
2020-05-11,1.447
2020-05-12,1.449
2020-05-13,1.467
2020-05-14,1.454
2020-05-15,1.457
2020-05-18,1.459
2020-05-19,1.475
2020-05-20,1.448
2020-05-21,1.426
2020-05-22,1.396
2020-05-25,1.394
2020-05-26,1.417
2020-05-27,1.396
2020-05-28,1.392
2020-05-29,1.398
2020-06-01,1.449
2020-06-02,1.448
2020-06-03,1.442
2020-06-04,1.435
2020-06-05,1.444
2020-06-08,1.445
2020-06-09,1.459
2020-06-10,1.458
2020-06-11,1.453
2020-06-12,1.474
2020-06-15,1.46
2020-06-16,1.478
2020-06-17,1.489
2020-06-18,1.476
2020-06-19,1.499
2020-06-22,1.515
2020-06-23,1.555
2020-06-24,1.545
2020-06-29,1.518
2020-06-30,1.563
2020-07-01,1.558
2020-07-02,1.61
2020-07-03,1.635
2020-07-06,1.718
2020-07-07,1.724
2020-07-08,1.804
2020-07-09,1.861
2020-07-10,1.873
2020-07-13,1.916
2020-07-14,1.905
2020-07-15,1.86
2020-07-16,1.737
2020-07-17,1.72
2020-07-20,1.764
2020-07-21,1.766
2020-07-22,1.782
2020-07-23,1.796
2020-07-24,1.72
2020-07-27,1.717
2020-07-28,1.737
2020-07-29,1.779
2020-07-30,1.734
2020-07-31,1.737
2020-08-03,1.841
2020-08-04,1.814
2020-08-05,1.846
2020-08-06,1.87
2020-08-07,1.848
