date,close
2024-08-14,5.7437
2024-08-15,5.8811
2024-08-16,5.8924
2024-08-19,5.9655
2024-08-20,5.945
2024-08-21,5.974
2024-08-22,5.8704
2024-08-23,5.9468
2024-08-26,5.8719
2024-08-27,5.8985
2024-08-28,5.8308
2024-08-29,5.827
2024-08-30,5.8863
2024-09-02,5.8786
2024-09-03,5.7042
2024-09-04,5.6956
2024-09-05,5.6885
2024-09-06,5.5356
2024-09-09,5.6088
2024-09-10,5.6679
2024-09-11,5.7905
2024-09-12,5.8477
2024-09-13,5.8606
2024-09-18,5.7997
2024-09-19,5.9534
2024-09-20,5.9134
2024-09-23,5.9213
2024-09-24,5.9475
2024-09-25,5.9328
2024-09-26,5.9857
2024-09-27,5.9353
2024-09-30,5.948
2024-10-08,6.01
2024-10-09,6.045
2024-10-10,6.0506
2024-10-11,6.057
2024-10-14,6.1038
2024-10-15,6.0319
2024-10-16,6.0634
2024-10-17,6.0703
2024-10-18,6.1122
2024-10-21,6.1012
2024-10-22,6.127
2024-10-23,6.0362
2024-10-24,6.087
2024-10-25,6.1063
2024-10-28,6.1221
2024-10-29,6.1771
2024-10-30,6.1389
2024-10-31,5.9837
2024-11-01,6.0162
2024-11-04,6.0006
2024-11-05,6.062
2024-11-06,6.2187
2024-11-07,6.3642
2024-11-08,6.3505
2024-11-11,6.375
2024-11-12,6.3771
2024-11-13,6.3714
2024-11-14,6.3281
2024-11-15,6.1833
2024-11-18,6.2177
2024-11-19,6.2595
2024-11-20,6.2553
2024-11-21,6.2773
2024-11-22,6.2847
2024-11-25,6.291
2024-11-26,6.3239
2024-11-27,6.2789
2024-11-28,6.2713
2024-11-29,6.3231
2024-12-02,6.3891
2024-12-03,6.4165
2024-12-04,6.4879
2024-12-05,6.4648
2024-12-06,6.5166
2024-12-09,6.47
2024-12-10,6.4535
2024-12-11,6.562
2024-12-12,6.5193
2024-12-13,6.5642
2024-12-16,6.652
2024-12-17,6.6261
2024-12-18,6.398
2024-12-19,6.372
2024-12-20,6.4214
2024-12-23,6.4812
2024-12-24,6.5657
2024-12-25,6.5634
2024-12-26,6.5576
2024-12-27,6.4705
2024-12-30,6.3896
2024-12-31,6.3341
2025-01-02,6.3194
2025-01-03,6.4198
2025-01-06,6.4891
2025-01-07,6.3753
2025-01-08,6.377
2025-01-09,6.3752
2025-01-10,6.2735
2025-01-13,6.2522
2025-01-14,6.2421
2025-01-15,6.3872
2025-01-16,6.3433
2025-01-17,6.4475
2025-01-20,6.446
2025-01-21,6.4672
2025-01-22,6.5492
2025-01-23,6.5633
2025-01-24,6.5257
2025-01-27,6.3352
2025-02-05,6.4763
2025-02-06,6.5064
2025-02-07,6.4225
2025-02-10,6.4995
2025-02-11,6.4824
2025-02-12,6.4884
2025-02-13,6.5811
2025-02-14,6.6046
2025-02-17,6.6035
2025-02-18,6.6155
2025-02-19,6.6224
2025-02-20,6.5937
2025-02-21,6.4582
2025-02-24,6.3847
2025-02-25,6.3057
2025-02-26,6.3187
2025-02-27,6.1479
2025-02-28,6.2455
2025-03-03,6.1106
2025-03-04,6.089
2025-03-05,6.1676
2025-03-06,5.9989
2025-03-07,6.0426
2025-03-10,5.8186
2025-03-11,5.8029
2025-03-12,5.8652
2025-03-13,5.7569
2025-03-14,5.8999
2025-03-17,5.9278
2025-03-18,5.8324
2025-03-19,5.9048
2025-03-20,5.8911
2025-03-21,5.9142
2025-03-24,6.0393
2025-03-25,6.0716
2025-03-26,5.9595
2025-03-27,5.9253
2025-03-28,5.7728
2025-03-31,5.7728
2025-04-01,5.8173
2025-04-02,5.8607
2025-04-03,5.5585
2025-04-07,5.2486
2025-04-08,5.1522
2025-04-09,5.7581
2025-04-10,5.5221
2025-04-11,5.6209
2025-04-14,5.6536
2025-04-15,5.662
2025-04-16,5.496
2025-04-17,5.4914
2025-04-18,5.4896
2025-04-21,5.3559
2025-04-22,5.4906
2025-04-23,5.6151
2025-04-24,5.7672
2025-04-25,5.8296
2025-04-28,5.8263
2025-04-29,5.8599
2025-04-30,5.8655
2025-05-06,5.9276
2025-05-07,5.9505
2025-05-08,6.0139
2025-05-09,6.0141
2025-05-12,6.2516
2025-05-13,6.3443
2025-05-14,6.3782
2025-05-15,6.3837
2025-05-16,6.4108
2025-05-19,6.4144
2025-05-20,6.3931
2025-05-21,6.309
2025-05-22,6.3155
2025-05-23,6.2585
2025-05-26,6.2511
2025-05-27,6.399
2025-05-28,6.3723
2025-05-29,6.3857
2025-05-30,6.375
2025-06-03,6.4721
2025-06-04,6.4908
2025-06-05,6.4354
2025-06-06,6.4963
2025-06-09,6.5102
2025-06-10,6.5504
2025-06-11,6.523
2025-06-12,6.5387
2025-06-13,6.4546
2025-06-16,6.5452
2025-06-17,6.4771
2025-06-18,6.4784
2025-06-19,6.4756
2025-06-20,6.4528
2025-06-23,6.5132
2025-06-24,6.5985
2025-06-25,6.6136
2025-06-26,6.6693
2025-06-27,6.6926
2025-06-30,6.7307
2025-07-01,6.6676
2025-07-02,6.7161
2025-07-03,6.7795
2025-07-04,6.7803
2025-07-07,6.724
2025-07-08,6.7315
2025-07-09,6.7788
2025-07-10,6.7661
2025-07-11,6.749
2025-07-14,6.7706
2025-07-15,6.7791
2025-07-16,6.7872
2025-07-17,6.8297
2025-07-18,6.8282
2025-07-21,6.8634
2025-07-22,6.8247
2025-07-23,6.8491
2025-07-24,6.8632
2025-07-25,6.8804
2025-07-28,6.9081
2025-07-29,6.8989
2025-07-30,6.9031
2025-07-31,6.8708
2025-08-01,6.7379
2025-08-04,6.8501
2025-08-05,6.7983
2025-08-06,6.8866
2025-08-07,6.9024
2025-08-08,6.9715
