date,close
2019-01-02,1.764
2019-01-03,1.754
2019-01-04,1.797
2019-01-07,1.826
2019-01-08,1.82
2019-01-09,1.829
2019-01-10,1.835
2019-01-11,1.838
2019-01-14,1.824
2019-01-15,1.865
2019-01-16,1.865
2019-01-17,1.851
2019-01-18,1.882
2019-01-21,1.891
2019-01-22,1.867
2019-01-23,1.87
2019-01-24,1.898
2019-01-25,1.909
2019-01-28,1.909
2019-01-29,1.904
2019-01-30,1.892
2019-01-31,1.897
2019-02-01,1.941
2019-02-11,1.979
2019-02-12,1.984
2019-02-13,2.012
2019-02-14,2.014
2019-02-15,1.988
2019-02-18,2.058
2019-02-19,2.045
2019-02-20,2.045
2019-02-21,2.051
2019-02-22,2.124
2019-02-25,2.221
2019-02-26,2.203
2019-02-27,2.163
2019-02-28,2.161
2019-03-01,2.193
2019-03-04,2.223
2019-03-05,2.256
2019-03-06,2.272
2019-03-07,2.276
2019-03-08,2.208
2019-03-11,2.281
2019-03-12,2.347
2019-03-13,2.264
2019-03-14,2.226
2019-03-15,2.254
2019-03-18,2.326
2019-03-19,2.311
2019-03-20,2.302
2019-03-21,2.318
2019-03-22,2.315
2019-03-25,2.273
2019-03-26,2.234
2019-03-27,2.26
2019-03-28,2.248
2019-03-29,2.334
2019-04-01,2.41
2019-04-02,2.401
2019-04-03,2.416
2019-04-04,2.429
2019-04-08,2.41
2019-04-09,2.399
2019-04-10,2.405
2019-04-11,2.337
2019-04-12,2.33
2019-04-15,2.311
2019-04-16,2.363
2019-04-17,2.368
2019-04-18,2.365
2019-04-19,2.376
2019-04-22,2.334
2019-04-23,2.319
2019-04-24,2.344
2019-04-25,2.291
2019-04-26,2.286
2019-04-29,2.271
2019-04-30,2.266
2019-05-06,2.117
2019-05-07,2.137
2019-05-08,2.126
2019-05-09,2.107
2019-05-10,2.202
2019-05-13,2.185
2019-05-14,2.181
2019-05-15,2.246
2019-05-16,2.237
2019-05-17,2.181
2019-05-20,2.14
2019-05-21,2.169
2019-05-22,2.177
2019-05-23,2.111
2019-05-24,2.105
2019-05-27,2.155
2019-05-28,2.172
2019-05-29,2.167
2019-05-30,2.155
2019-05-31,2.16
2019-06-03,2.147
2019-06-04,2.111
2019-06-05,2.102
2019-06-06,2.074
2019-06-10,2.103
2019-06-11,2.167
2019-06-12,2.147
2019-06-13,2.148
2019-06-14,2.123
2019-06-17,2.103
2019-06-18,2.116
2019-06-19,2.137
2019-06-20,2.199
2019-06-21,2.21
2019-06-24,2.21
2019-06-25,2.189
2019-06-26,2.211
2019-06-27,2.257
2019-06-28,2.249
2019-06-30,2.249
2019-07-01,2.324
2019-07-02,2.316
2019-07-03,2.274
2019-07-04,2.256
2019-07-05,2.279
2019-07-08,2.235
2019-07-09,2.238
2019-07-10,2.245
2019-07-11,2.23
2019-07-12,2.244
2019-07-15,2.287
2019-07-16,2.284
2019-07-17,2.285
2019-07-18,2.255
2019-07-19,2.267
2019-07-22,2.267
2019-07-23,2.291
2019-07-24,2.321
2019-07-25,2.343
2019-07-26,2.353
2019-07-29,2.358
2019-07-30,2.367
2019-07-31,2.354
2019-08-01,2.35
2019-08-02,2.314
2019-08-05,2.279
2019-08-06,2.27
2019-08-07,2.256
2019-08-08,2.28
2019-08-09,2.258
2019-08-12,2.29
2019-08-13,2.266
2019-08-14,2.279
2019-08-15,2.296
2019-08-16,2.303
2019-08-19,2.357
2019-08-20,2.348
2019-08-21,2.355
2019-08-22,2.35
2019-08-23,2.36
2019-08-26,2.333
2019-08-27,2.365
2019-08-28,2.357
2019-08-29,2.364
2019-08-30,2.356
2019-09-02,2.413
2019-09-03,2.435
2019-09-04,2.446
2019-09-05,2.459
2019-09-06,2.473
2019-09-09,2.518
2019-09-10,2.497
2019-09-11,2.479
2019-09-12,2.496
2019-09-16,2.487
2019-09-17,2.453
2019-09-18,2.457
2019-09-19,2.478
2019-09-20,2.495
2019-09-23,2.472
2019-09-24,2.506
2019-09-25,2.467
2019-09-26,2.419
2019-09-27,2.451
2019-09-30,2.398
2019-10-08,2.385
2019-10-09,2.393
2019-10-10,2.437
2019-10-11,2.438
2019-10-14,2.458
2019-10-15,2.437
2019-10-16,2.428
2019-10-17,2.435
2019-10-18,2.411
2019-10-21,2.391
2019-10-22,2.428
2019-10-23,2.394
2019-10-24,2.388
2019-10-25,2.431
2019-10-28,2.49
2019-10-29,2.479
2019-10-30,2.473
2019-10-31,2.45
2019-11-01,2.479
2019-11-04,2.511
2019-11-05,2.539
2019-11-06,2.517
2019-11-07,2.535
2019-11-08,2.527
2019-11-11,2.481
2019-11-12,2.477
2019-11-13,2.513
2019-11-14,2.538
2019-11-15,2.524
2019-11-18,2.52
2019-11-19,2.56
