date,open,high,low,close,volume,etf_name
2020-01-02,37.44,38.35,36.6,37.61,206116,宁德时代
2020-01-03,37.61,39.1,36.75,38.74,180842,宁德时代
2020-01-06,39.71,41.49,37.77,38.49,265002,宁德时代
2020-01-07,38.44,38.79,37.55,38.16,135075,宁德时代
2020-01-08,38.44,39.83,37.38,38.77,192241,宁德时代
2020-01-09,40.1,42.05,39.0,41.77,201644,宁德时代
2020-01-10,41.33,41.33,39.93,40.83,144280,宁德时代
2020-01-13,42.33,43.7,41.33,42.83,215974,宁德时代
2020-01-14,44.28,44.96,41.87,42.16,217685,宁德时代
2020-01-15,42.16,43.2,40.22,41.94,177587,宁德时代
2020-01-16,42.33,42.6,41.13,42.55,129342,宁德时代
2020-01-17,42.53,43.19,41.21,41.81,146624,宁德时代
2020-01-20,41.76,47.37,40.6,46.33,248922,宁德时代
2020-01-21,45.94,46.21,44.8,45.46,142671,宁德时代
2020-01-22,45.46,52.23,44.2,52.23,349916,宁德时代
2020-01-23,51.49,53.99,47.38,50.42,359862,宁德时代
2020-02-03,48.19,57.59,48.16,53.08,526346,宁德时代
2020-02-04,58.86,60.6,55.66,60.6,359136,宁德时代
2020-02-05,65.75,68.88,64.71,68.88,530824,宁德时代
2020-02-06,64.0,72.26,62.88,72.26,579190,宁德时代
2020-02-07,70.1,71.95,66.19,66.88,454995,宁德时代
2020-02-10,67.33,71.54,66.77,69.69,375409,宁德时代
2020-02-11,70.77,71.21,65.44,65.88,339946,宁德时代
2020-02-12,63.19,67.79,62.34,66.58,325862,宁德时代
2020-02-13,64.54,66.43,63.26,64.74,313610,宁德时代
2020-02-14,66.16,66.71,60.58,61.16,439619,宁德时代
2020-02-17,60.66,64.64,60.59,63.49,344471,宁德时代
2020-02-18,63.49,66.21,62.8,64.89,282305,宁德时代
2020-02-19,69.55,69.6,62.82,62.99,418168,宁德时代
2020-02-20,64.83,69.55,62.88,66.77,518440,宁德时代
2020-02-21,65.55,68.16,64.11,66.71,338051,宁德时代
2020-02-24,65.1,66.69,62.59,63.66,365231,宁德时代
2020-02-25,61.07,69.83,60.57,67.8,516026,宁德时代
2020-02-26,66.05,67.24,61.6,62.8,338280,宁德时代
2020-02-27,64.05,64.91,60.55,60.93,332002,宁德时代
2020-02-28,55.65,58.44,53.16,53.25,508447,宁德时代
2020-03-02,54.99,56.74,52.85,55.65,318150,宁德时代
2020-03-03,58.99,61.04,57.83,58.87,296911,宁德时代
2020-03-04,57.88,58.93,55.54,57.71,205946,宁德时代
2020-03-05,59.29,60.01,56.77,58.56,224633,宁德时代
2020-03-06,56.78,59.71,56.49,57.61,159809,宁德时代
2020-03-09,55.1,56.16,51.77,52.02,294253,宁德时代
2020-03-10,52.11,56.6,51.78,55.95,292745,宁德时代
2020-03-11,57.33,60.43,54.99,56.09,339232,宁德时代
2020-03-12,53.55,53.86,50.84,52.44,333858,宁德时代
2020-03-13,47.94,52.21,47.89,51.27,274553,宁德时代
2020-03-16,48.99,49.48,43.93,44.03,490485,宁德时代
2020-03-17,45.1,46.18,39.69,43.41,392203,宁德时代
2020-03-18,43.94,46.49,42.33,43.08,313384,宁德时代
2020-03-19,43.99,44.27,39.93,41.79,331563,宁德时代
2020-03-20,43.44,44.38,40.78,42.25,225142,宁德时代
2020-03-23,39.44,39.86,36.22,37.59,307618,宁德时代
2020-03-24,39.33,40.59,37.33,39.86,291170,宁德时代
2020-03-25,42.44,45.76,42.33,45.1,385928,宁德时代
2020-03-26,44.0,45.85,43.6,44.34,194371,宁德时代
2020-03-27,45.78,46.4,43.08,43.83,174991,宁德时代
2020-03-30,42.33,44.9,39.38,44.16,261655,宁德时代
2020-03-31,44.7,46.29,43.36,44.76,194852,宁德时代
2020-04-01,46.27,47.64,44.04,44.77,298951,宁德时代
2020-04-02,43.16,46.55,42.72,46.55,209588,宁德时代
2020-04-03,47.13,47.33,44.44,45.1,182204,宁德时代
2020-04-07,46.55,47.93,46.23,47.16,183729,宁德时代
2020-04-08,46.71,47.6,45.99,46.21,119470,宁德时代
2020-04-09,46.76,47.04,44.44,44.66,160528,宁德时代
2020-04-10,45.19,46.25,43.4,43.69,145696,宁德时代
2020-04-13,41.71,42.88,40.7,41.6,124581,宁德时代
2020-04-14,43.44,47.97,43.16,47.97,388939,宁德时代
2020-04-15,49.99,51.15,48.56,48.99,325645,宁德时代
2020-04-16,49.14,52.16,48.34,51.74,216381,宁德时代
2020-04-17,53.48,55.98,52.94,53.96,292522,宁德时代
2020-04-20,53.66,53.85,51.15,52.61,187002,宁德时代
2020-04-21,51.21,51.69,48.44,50.39,193917,宁德时代
2020-04-22,48.62,51.38,48.6,50.58,146869,宁德时代
2020-04-23,51.71,51.71,49.33,50.05,125379,宁德时代
2020-04-24,50.1,53.44,50.1,51.04,169916,宁德时代
2020-04-27,51.78,53.44,51.26,52.28,143655,宁德时代
2020-04-28,53.99,55.71,51.0,54.71,226917,宁德时代
2020-04-29,53.51,55.76,53.44,54.95,119544,宁德时代
2020-04-30,57.88,60.39,57.88,58.09,233385,宁德时代
2020-05-06,55.1,59.44,54.96,58.88,191464,宁德时代
2020-05-07,59.16,59.66,56.21,57.44,160787,宁德时代
2020-05-08,57.33,58.56,56.15,57.93,141339,宁德时代
2020-05-11,57.99,58.98,52.91,54.34,285364,宁德时代
2020-05-12,55.14,55.59,53.29,55.1,160277,宁德时代
2020-05-13,54.18,55.46,53.93,54.69,121542,宁德时代
2020-05-14,54.46,54.69,53.16,53.21,114335,宁德时代
2020-05-15,55.63,59.93,55.08,58.7,322121,宁德时代
2020-05-18,58.44,58.44,55.49,56.66,160889,宁德时代
2020-05-19,57.44,58.88,57.06,57.47,104252,宁德时代
2020-05-20,61.21,64.21,60.66,60.83,329693,宁德时代
2020-05-21,62.22,63.19,59.31,59.8,154876,宁德时代
2020-05-22,59.34,59.47,56.21,57.22,148173,宁德时代
2020-05-25,57.15,58.11,55.96,58.05,103782,宁德时代
2020-05-26,58.86,61.44,58.55,61.23,174865,宁德时代
2020-05-27,61.19,63.99,61.16,62.05,181049,宁德时代
2020-05-28,61.21,61.71,57.6,60.01,174247,宁德时代
2020-05-29,59.55,60.01,58.16,58.73,141428,宁德时代
2020-06-01,59.81,62.9,59.19,61.74,151766,宁德时代
2020-06-02,63.44,63.93,59.54,60.91,137030,宁德时代
2020-06-03,61.21,61.84,60.0,60.38,113635,宁德时代
2020-06-04,61.23,63.63,60.56,61.34,137574,宁德时代
2020-06-05,61.09,62.09,59.81,62.0,98627,宁德时代
2020-06-08,63.41,63.86,61.59,62.11,105604,宁德时代
2020-06-09,63.84,64.65,63.06,63.54,150699,宁德时代
2020-06-10,66.84,66.84,63.28,65.05,198210,宁德时代
2020-06-11,66.89,72.49,65.85,69.1,368177,宁德时代
2020-06-12,66.99,68.28,66.27,66.5,252446,宁德时代
2020-06-15,64.8,67.59,64.4,65.61,159452,宁德时代
2020-06-16,67.45,68.71,65.79,66.89,131297,宁德时代
2020-06-17,66.36,67.17,64.68,65.67,125291,宁德时代
2020-06-18,65.67,66.65,64.67,66.31,96562,宁德时代
2020-06-19,66.88,71.78,66.42,70.17,250193,宁德时代
2020-06-22,70.09,73.17,69.39,69.67,190412,宁德时代
2020-06-23,70.23,71.96,68.85,71.83,159475,宁德时代
2020-06-24,72.74,74.44,72.06,73.28,146604,宁德时代
2020-06-29,72.73,73.84,71.9,73.03,116040,宁德时代
2020-06-30,74.11,77.71,74.11,74.87,162514,宁德时代
2020-07-01,77.17,79.06,71.27,72.11,286575,宁德时代
2020-07-02,73.56,73.66,69.4,70.89,270480,宁德时代
2020-07-03,72.45,72.86,70.8,71.11,240264,宁德时代
2020-07-06,71.45,78.0,71.11,76.78,307153,宁德时代
2020-07-07,82.45,86.66,82.17,86.66,253604,宁德时代
2020-07-08,88.0,88.46,83.55,87.76,288890,宁德时代
2020-07-09,87.45,92.88,86.89,91.9,279036,宁德时代
2020-07-10,90.77,93.09,89.45,91.28,168293,宁德时代
2020-07-13,95.56,102.61,95.56,102.51,303269,宁德时代
2020-07-14,96.89,100.61,94.04,97.98,333296,宁德时代
2020-07-15,99.67,100.54,90.29,93.02,274351,宁德时代
2020-07-16,93.56,96.27,87.11,87.32,272550,宁德时代
2020-07-17,87.45,89.77,82.49,86.73,303786,宁德时代
2020-07-20,91.39,95.29,88.61,92.06,289999,宁德时代
2020-07-21,94.66,94.66,90.78,93.0,186566,宁德时代
2020-07-22,91.89,95.33,90.8,93.5,191658,宁德时代
2020-07-23,93.0,97.73,92.45,96.61,255900,宁德时代
2020-07-24,94.11,94.61,86.81,88.38,343983,宁德时代
2020-07-27,88.0,89.66,83.55,84.28,251556,宁德时代
2020-07-28,86.92,89.39,86.62,87.74,201490,宁德时代
2020-07-29,87.74,91.89,86.49,91.44,189986,宁德时代
2020-07-30,91.89,92.99,90.45,92.09,143531,宁德时代
2020-07-31,92.45,97.61,92.17,95.88,207050,宁德时代
2020-08-03,96.83,97.89,94.7,97.78,151061,宁德时代
2020-08-04,97.06,101.88,94.85,95.05,199581,宁德时代
2020-08-05,95.08,96.23,92.75,94.86,127301,宁德时代
2020-08-06,98.49,99.05,93.56,95.5,145657,宁德时代
2020-08-07,94.11,97.06,90.29,91.5,180552,宁德时代
2020-08-10,91.45,92.06,88.05,89.49,130787,宁德时代
2020-08-11,89.53,91.67,88.08,88.24,122332,宁德时代
2020-08-12,89.06,89.26,82.56,86.74,252727,宁德时代
2020-08-13,89.56,90.21,86.04,86.89,130612,宁德时代
2020-08-14,87.84,89.36,86.89,89.32,119700,宁德时代
2020-08-17,89.11,89.32,85.89,87.24,197074,宁德时代
2020-08-18,88.89,91.89,86.83,88.71,221224,宁德时代
2020-08-19,87.89,87.89,83.56,83.66,187147,宁德时代
2020-08-20,81.89,84.11,80.78,82.68,130201,宁德时代
2020-08-21,84.31,85.75,83.56,84.8,146553,宁德时代
2020-08-24,85.89,93.56,84.8,90.23,258074,宁德时代
2020-08-25,90.23,92.45,88.54,89.07,145512,宁德时代
2020-08-26,88.56,89.1,85.19,86.0,152414,宁德时代
2020-08-27,90.5,93.84,88.56,91.86,283995,宁德时代
2020-08-28,92.63,94.39,91.16,93.73,169690,宁德时代
2020-08-31,94.48,95.09,91.9,92.64,135171,宁德时代
2020-09-01,92.73,97.45,91.9,97.03,197211,宁德时代
2020-09-02,96.54,96.96,93.56,95.4,146097,宁德时代
2020-09-03,94.67,95.23,92.39,94.61,124541,宁德时代
2020-09-04,90.35,92.26,89.44,91.48,147761,宁德时代
2020-09-07,90.73,91.81,78.0,81.56,447969,宁德时代
2020-09-08,80.78,82.45,77.73,81.84,220754,宁德时代
2020-09-09,77.45,82.17,76.89,80.4,189351,宁德时代
2020-09-10,80.78,83.28,80.5,80.76,148290,宁德时代
2020-09-11,81.34,83.17,79.86,82.06,117659,宁德时代
2020-09-14,83.84,86.33,83.56,85.1,142923,宁德时代
2020-09-15,86.61,87.45,85.13,86.17,117039,宁德时代
2020-09-16,87.33,87.39,83.84,84.81,118380,宁德时代
2020-09-17,84.8,90.2,84.11,88.23,181320,宁德时代
2020-09-18,88.51,89.11,86.46,88.02,105522,宁德时代
2020-09-21,90.17,93.56,87.37,87.96,160701,宁德时代
2020-09-22,89.11,91.45,87.96,89.39,123410,宁德时代
2020-09-23,88.89,89.01,84.17,87.45,157202,宁德时代
2020-09-24,85.59,86.78,83.62,84.01,106690,宁德时代
2020-09-25,85.56,86.17,83.89,84.39,68017,宁德时代
2020-09-28,85.48,87.42,84.56,85.18,82336,宁德时代
2020-09-29,86.61,92.59,86.58,91.89,202463,宁德时代
2020-09-30,92.06,95.23,91.23,94.23,159930,宁德时代
2020-10-09,100.22,105.16,100.1,102.93,239672,宁德时代
2020-10-12,104.67,108.56,104.28,108.44,189418,宁德时代
2020-10-13,108.49,110.55,105.23,108.93,107490,宁德时代
2020-10-14,109.67,113.56,108.45,109.84,137715,宁德时代
2020-10-15,111.95,113.61,109.67,110.56,99560,宁德时代
2020-10-16,111.06,111.34,102.62,104.73,203041,宁德时代
2020-10-19,106.52,109.17,104.67,105.45,130025,宁德时代
2020-10-20,106.13,112.23,105.19,112.23,135966,宁德时代
2020-10-21,111.37,111.69,104.49,107.08,161679,宁德时代
2020-10-22,105.89,107.89,104.11,106.83,90552,宁德时代
2020-10-23,107.18,110.65,102.7,103.0,115938,宁德时代
2020-10-26,103.54,107.8,99.85,107.53,108028,宁德时代
2020-10-27,108.56,110.61,106.89,109.79,91015,宁德时代
2020-10-28,104.48,114.38,103.93,111.48,224158,宁德时代
2020-10-29,109.68,113.57,107.07,111.34,174352,宁德时代
2020-10-30,111.9,120.56,110.39,115.32,229587,宁德时代
2020-11-02,115.23,125.5,113.84,122.53,189461,宁德时代
2020-11-03,122.45,122.45,115.33,120.24,184567,宁德时代
2020-11-04,119.67,122.45,116.89,119.98,110617,宁德时代
2020-11-05,123.0,127.17,122.98,127.17,157959,宁德时代
2020-11-06,128.77,130.91,122.45,124.39,156584,宁德时代
2020-11-09,126.89,129.61,123.06,126.02,132286,宁德时代
2020-11-10,125.4,129.05,119.98,125.74,144175,宁德时代
2020-11-11,124.73,126.6,117.36,117.36,157584,宁德时代
2020-11-12,122.45,122.45,118.33,119.25,97169,宁德时代
2020-11-13,121.4,122.88,118.56,118.68,113777,宁德时代
2020-11-16,119.05,121.17,115.46,119.61,123121,宁德时代
2020-11-17,120.95,122.45,114.95,117.27,136749,宁德时代
2020-11-18,116.96,118.04,109.57,111.61,192833,宁德时代
2020-11-19,111.9,113.31,109.73,112.5,97580,宁德时代
2020-11-20,113.83,118.89,113.83,118.05,123035,宁德时代
2020-11-23,118.05,122.28,116.95,118.56,120913,宁德时代
2020-11-24,121.34,121.95,116.9,119.5,97920,宁德时代
2020-11-25,120.56,120.71,113.78,114.79,117099,宁德时代
2020-11-26,115.0,115.0,110.89,114.3,86295,宁德时代
2020-11-27,114.35,116.21,110.23,112.45,84332,宁德时代
2020-11-30,113.56,113.56,108.01,112.89,126662,宁德时代
2020-12-01,110.67,115.03,110.23,114.76,94920,宁德时代
2020-12-02,114.67,114.67,109.45,113.39,119653,宁德时代
2020-12-03,113.39,115.21,110.43,114.66,106886,宁德时代
2020-12-04,114.15,117.61,113.75,116.74,92338,宁德时代
2020-12-07,117.39,125.13,117.39,123.26,171130,宁德时代
2020-12-08,125.5,127.94,124.95,125.8,116362,宁德时代
2020-12-09,127.3,129.45,123.6,125.78,153636,宁德时代
2020-12-10,124.2,126.61,121.89,125.13,99857,宁德时代
2020-12-11,124.29,126.63,123.39,126.09,128937,宁德时代
2020-12-14,126.1,127.3,123.61,125.78,107241,宁德时代
2020-12-15,126.89,133.21,124.92,132.73,177813,宁德时代
2020-12-16,133.67,137.06,131.89,136.93,142888,宁德时代
2020-12-17,135.89,137.89,134.68,136.23,88123,宁德时代
2020-12-18,136.61,140.75,135.35,139.11,95126,宁德时代
2020-12-21,142.86,158.56,140.95,158.56,198104,宁德时代
2020-12-22,155.78,161.52,151.17,152.25,168744,宁德时代
2020-12-23,152.26,160.95,148.66,154.67,173903,宁德时代
2020-12-24,154.11,155.04,149.39,150.78,94786,宁德时代
2020-12-25,149.67,153.11,148.01,151.78,95399,宁德时代
2020-12-28,153.11,155.78,150.78,153.99,119731,宁德时代
2020-12-29,154.0,155.11,146.55,149.11,121748,宁德时代
2020-12-30,155.78,171.3,155.78,166.89,228817,宁德时代
2020-12-31,169.66,174.61,167.84,173.06,152005,宁德时代
2021-01-04,176.95,206.4,176.95,202.5,224808,宁德时代
2021-01-05,197.45,202.34,192.45,201.34,227452,宁德时代
2021-01-06,204.67,209.11,195.23,203.99,186681,宁德时代
2021-01-07,200.78,208.56,198.49,207.58,173895,宁德时代
2021-01-08,210.78,214.11,198.78,202.73,210067,宁德时代
2021-01-11,205.71,205.71,192.45,194.67,230050,宁德时代
2021-01-12,192.17,202.67,189.11,200.88,165597,宁德时代
2021-01-13,200.23,206.06,185.21,191.89,272620,宁德时代
2021-01-14,186.45,191.34,182.46,183.01,196066,宁德时代
2021-01-15,182.44,191.33,180.78,189.42,198229,宁德时代
2021-01-18,187.3,195.67,186.76,191.28,142012,宁德时代
2021-01-19,191.34,192.45,180.53,181.4,162867,宁德时代
2021-01-20,185.67,196.55,184.06,195.45,213416,宁德时代
2021-01-21,193.0,199.67,189.11,195.39,174792,宁德时代
2021-01-22,195.5,205.94,195.5,204.67,190442,宁德时代
2021-01-25,203.73,210.41,195.97,198.53,217414,宁德时代
2021-01-26,198.45,198.45,191.2,192.17,151044,宁德时代
2021-01-27,195.78,196.45,184.67,194.96,148385,宁德时代
2021-01-28,189.11,190.79,182.45,183.5,181820,宁德时代
2021-01-29,186.9,187.45,168.31,174.73,276013,宁德时代
2021-02-01,174.11,176.28,170.34,172.63,175251,宁德时代
2021-02-02,173.56,183.55,165.43,182.34,250865,宁德时代
2021-02-03,188.56,193.31,186.36,189.66,211073,宁德时代
2021-02-04,191.84,196.78,188.84,193.84,216302,宁德时代
2021-02-05,197.45,198.55,185.14,185.48,184117,宁德时代
2021-02-08,186.34,202.89,185.23,202.45,244027,宁德时代
2021-02-09,206.45,208.56,200.67,205.89,162037,宁德时代
2021-02-10,208.0,209.45,203.56,207.26,162830,宁德时代
2021-02-18,212.45,212.45,192.94,198.56,238249,宁德时代
2021-02-19,194.67,198.0,185.89,193.28,186904,宁德时代
2021-02-22,193.28,197.89,186.28,186.34,167204,宁德时代
2021-02-23,183.56,187.19,178.49,187.19,136047,宁德时代
2021-02-24,186.34,188.0,166.56,170.78,302721,宁德时代
2021-02-25,174.59,174.59,164.11,165.28,245757,宁德时代
2021-02-26,157.45,163.0,154.55,157.02,229506,宁德时代
2021-03-01,162.18,170.01,160.38,169.45,205394,宁德时代
2021-03-02,174.11,174.23,167.48,172.23,152811,宁德时代
2021-03-03,170.25,172.24,167.09,172.24,104644,宁德时代
2021-03-04,169.67,169.67,157.4,158.88,181034,宁德时代
2021-03-05,151.9,159.6,149.3,155.78,173073,宁德时代
2021-03-08,157.45,163.96,145.16,147.45,212955,宁德时代
2021-03-09,144.67,150.5,138.56,144.67,273577,宁德时代
2021-03-10,153.56,157.05,151.89,152.73,237638,宁德时代
2021-03-11,153.56,163.27,150.95,162.05,209643,宁德时代
2021-03-12,165.18,169.67,162.06,167.7,189520,宁德时代
2021-03-15,166.89,166.89,148.56,151.5,230404,宁德时代
2021-03-16,154.11,158.55,152.17,157.45,137124,宁德时代
2021-03-17,154.6,164.78,151.95,163.0,146726,宁德时代
2021-03-18,163.56,168.62,163.29,164.56,113670,宁德时代
2021-03-19,158.56,163.0,150.78,153.84,189716,宁德时代
2021-03-22,155.23,156.34,144.05,149.0,231719,宁德时代
2021-03-23,147.45,150.58,144.74,146.84,151169,宁德时代
2021-03-24,147.45,147.5,136.34,138.44,252082,宁德时代
2021-03-25,133.84,140.98,133.59,139.98,184399,宁德时代
2021-03-26,141.89,152.48,140.78,152.24,237103,宁德时代
2021-03-29,152.17,155.65,147.45,151.11,155632,宁德时代
2021-03-30,151.12,156.33,149.11,155.21,126404,宁德时代
2021-03-31,155.16,159.2,151.89,156.99,160546,宁德时代
2021-04-01,157.89,164.39,157.61,161.33,113338,宁德时代
2021-04-02,162.98,164.77,159.6,162.67,92629,宁德时代
2021-04-06,164.11,165.78,155.28,159.0,104638,宁德时代
2021-04-07,162.95,162.95,151.42,155.78,133931,宁德时代
2021-04-08,152.45,156.7,150.78,155.7,78710,宁德时代
2021-04-09,158.01,158.01,150.23,151.34,93237,宁德时代
2021-04-12,154.81,158.58,151.95,153.01,140595,宁德时代
2021-04-13,152.06,163.0,151.95,158.43,140211,宁德时代
2021-04-14,162.04,171.05,160.6,170.23,185043,宁德时代
2021-04-15,166.87,167.73,163.1,165.23,124741,宁德时代
2021-04-16,166.89,167.11,158.34,163.47,115363,宁德时代
2021-04-19,164.11,180.5,162.09,180.23,205477,宁德时代
2021-04-20,176.88,182.89,174.39,177.45,142834,宁德时代
2021-04-21,173.09,176.84,171.23,175.61,123996,宁德时代
2021-04-22,181.34,181.67,174.46,179.31,107913,宁德时代
2021-04-23,179.31,185.23,178.01,184.39,115365,宁德时代
2021-04-26,185.56,189.11,170.89,171.89,256237,宁德时代
2021-04-27,172.45,172.89,167.04,171.67,151810,宁德时代
2021-04-28,174.12,186.34,173.56,181.91,236326,宁德时代
2021-04-29,184.01,190.17,182.38,189.11,180863,宁德时代
2021-04-30,185.23,195.78,182.4,193.65,258651,宁德时代
2021-05-06,194.67,194.67,182.73,191.34,189680,宁德时代
2021-05-07,191.34,193.31,181.41,182.05,151385,宁德时代
2021-05-10,180.67,185.78,178.0,182.56,124553,宁德时代
2021-05-11,179.11,183.5,174.11,181.67,114121,宁德时代
2021-05-12,181.89,183.04,175.55,178.84,133602,宁德时代
2021-05-13,174.84,177.33,172.28,173.06,113476,宁德时代
2021-05-14,174.4,178.28,168.65,177.45,176577,宁德时代
2021-05-17,178.0,186.83,178.0,185.33,193309,宁德时代
2021-05-18,184.67,188.67,181.59,183.06,89620,宁德时代
2021-05-19,181.61,189.11,179.67,186.36,117464,宁德时代
2021-05-20,187.89,191.28,183.61,187.86,128440,宁德时代
2021-05-21,190.65,193.16,182.99,186.65,140566,宁德时代
2021-05-24,189.11,193.86,186.99,193.54,169611,宁德时代
2021-05-25,194.36,198.0,192.28,197.74,149577,宁德时代
2021-05-26,197.45,200.21,191.7,192.13,126989,宁德时代
2021-05-27,193.29,194.67,190.14,191.34,79598,宁德时代
2021-05-28,194.67,212.17,194.67,205.56,277151,宁德时代
2021-05-31,209.11,219.99,208.0,219.17,200063,宁德时代
2021-06-01,211.34,217.45,209.4,214.3,158754,宁德时代
2021-06-02,216.39,218.94,210.93,213.84,115712,宁德时代
2021-06-03,214.67,215.94,205.78,208.44,123760,宁德时代
2021-06-04,210.78,222.17,208.65,218.12,180102,宁德时代
2021-06-07,213.48,213.55,200.23,204.39,215294,宁德时代
2021-06-08,202.45,214.03,202.45,205.55,166317,宁德时代
2021-06-09,205.23,209.11,201.89,205.43,93582,宁德时代
2021-06-10,205.83,225.04,205.83,219.46,193502,宁德时代
2021-06-11,224.11,232.36,216.93,229.1,197961,宁德时代
2021-06-15,229.67,231.28,219.95,225.23,102522,宁德时代
2021-06-16,222.95,224.56,209.68,211.44,139694,宁德时代
2021-06-17,213.7,221.19,213.7,219.4,102724,宁德时代
2021-06-18,220.89,230.89,220.89,228.0,156000,宁德时代
2021-06-21,229.0,231.28,222.57,229.56,120823,宁德时代
2021-06-22,228.1,230.22,222.57,228.13,88470,宁德时代
2021-06-23,230.27,240.23,228.84,238.25,124457,宁德时代
2021-06-24,240.85,241.83,234.68,237.61,92132,宁德时代
2021-06-25,240.78,243.0,233.0,242.58,99555,宁德时代
2021-06-28,242.57,257.44,238.18,252.39,146439,宁德时代
2021-06-29,263.36,266.67,258.13,260.51,153402,宁德时代
2021-06-30,260.79,279.11,254.67,275.11,144557,宁德时代
2021-07-01,276.23,278.0,265.79,272.17,113247,宁德时代
2021-07-02,269.19,275.31,261.15,266.66,138717,宁德时代
2021-07-05,264.25,271.85,260.4,266.62,143515,宁德时代
2021-07-06,267.03,278.68,256.98,264.38,180555,宁德时代
2021-07-07,267.03,279.53,259.88,279.53,181457,宁德时代
2021-07-08,284.24,295.64,279.6,288.78,158790,宁德时代
2021-07-09,288.69,288.69,275.11,281.4,156607,宁德时代
2021-07-12,287.09,298.69,287.09,292.46,154763,宁德时代
2021-07-13,289.25,300.14,284.8,290.92,136371,宁德时代
