基金代码,基金简称,总收益,最大回撤,买入次数,卖出次数,止损次数,终止次数
017963,广发医药创新混合发起式C,0.0,0.0,0,0,0,0
013711,广发成长新动能混合C,0.0911,-0.0187,1,3,0,0
