方向,序号,约定净值,转换份额
买入(天天红B→基金),1,1.1386,80000
买入(天天红B→基金),2,1.0922,100000
买入(天天红B→基金),3,1.0458,120000
买入(天天红B→基金),4,0.9994,140000
止盈(基金→天天红B),1,1.1423,50000
止盈(基金→天天红B),2,1.1486,50000
止盈(基金→天天红B),3,1.155,50000
