策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),空仓天数,空仓占比(%),网格重建次数,买入持有收益率(%),超额收益(%),持有进攻资产天数,持有防守资产天数,股票仓位平均(%),基准指数收益率(%),超额Alpha(%),平均持股数量,调仓次数
策略1：RRG多因子行业轮动,RRG多因子行业轮动策略,1610,12.69,114.52,-21.21,2025-09-01,2026-06-11,0.656,0.598,1.11,15.48,2145223.22,314,159,155,144,144,50.0,136.11,-41.41,3.29,36361.45,,,,,,,,,,,,
策略2：双均线动量轮动+空仓风控,双均线动量轮动+空仓风控策略,1610,-25.66,-84.96,-90.39,2021-10-28,2025-05-12,-0.968,-0.284,-1.418,29.29,150352.52,751,376,375,144,231,38.4,2.59,-2.26,1.15,117556.58,43.0,2.67,,,,,,,,,,
策略3：网格交易,网格交易策略,1610,6.28,47.61,-40.62,2020-06-02,2022-01-03,0.252,0.155,0.428,21.41,1475418.19,26,20,6,5,6,45.45,1.27,-5.01,0.25,600.54,,,7.0,15.61,32.0,,,,,,,
策略4：宏观因子择时,宏观因子择时策略,1610,9.66,80.27,-12.75,2022-01-31,2023-01-26,0.541,0.758,0.898,13.09,1801568.39,584,294,290,165,125,56.9,4.08,-3.61,1.13,61119.61,,,,,,1610.0,1588.0,100.0,,,,
策略5：指数增强多因子选股,指数增强多因子选股策略,1610,2.77,19.09,-13.36,2023-11-03,2025-09-19,0.001,0.208,0.001,7.34,1189432.43,298,154,144,135,132,50.56,182.87,-45.33,4.03,10176.5,,,,,,,,,-41.51,60.6,10.0,26.0
