策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.05-0.70_卖Q0.75-0.90_5买3卖_基80000_增10000,广发约定净值转换,429,4.01,6.92,-1.16,2026-06-16,2026-06-30,0.586,3.458,0.524,1.63,1069247.01,56,19,37,42,0,100.0,2.96,0,0,0.0,56,19,37,3.63,3.29,2.35
买Q0.15-0.70_卖Q0.75-0.95_4买2卖_基80000_增10000,广发约定净值转换,429,3.97,6.85,-0.99,2026-06-12,2026-06-30,0.61,4.014,0.576,1.5,1068599.74,53,18,35,39,0,100.0,3.14,0,0,0.0,53,18,35,3.63,3.22,2.35
买Q0.05-0.70_卖Q0.75-0.95_4买2卖_基80000_增10000,广发约定净值转换,429,3.97,6.85,-0.99,2026-06-12,2026-06-30,0.61,4.014,0.576,1.5,1068599.74,53,18,35,39,0,100.0,3.14,0,0,0.0,53,18,35,3.63,3.22,2.35
买Q0.05-0.70_卖Q0.75-0.90_4买2卖_基80000_增10000,广发约定净值转换,429,3.97,6.85,-0.97,2026-06-16,2026-06-30,0.612,4.099,0.564,1.49,1068585.49,53,18,35,39,0,100.0,3.16,0,0,0.0,53,18,35,3.63,3.22,2.35
买Q0.15-0.70_卖Q0.75-0.90_4买2卖_基80000_增10000,广发约定净值转换,429,3.97,6.85,-0.97,2026-06-16,2026-06-30,0.612,4.099,0.564,1.49,1068585.49,53,18,35,39,0,100.0,3.16,0,0,0.0,53,18,35,3.63,3.22,2.35
买Q0.15-0.70_卖Q0.75-0.90_4买3卖_基80000_增10000,广发约定净值转换,429,3.93,6.79,-0.97,2026-06-16,2026-06-30,0.589,4.058,0.539,1.49,1067914.79,53,18,35,39,0,100.0,3.08,0,0,0.0,53,18,35,3.63,3.16,2.35
买Q0.05-0.70_卖Q0.75-0.90_4买3卖_基80000_增10000,广发约定净值转换,429,3.93,6.79,-0.97,2026-06-16,2026-06-30,0.589,4.058,0.539,1.49,1067914.79,53,18,35,39,0,100.0,3.08,0,0,0.0,53,18,35,3.63,3.16,2.35
买Q0.15-0.80_卖Q0.85-0.95_4买3卖_基50000_增20000,广发约定净值转换,429,3.57,6.16,-0.71,2026-06-16,2026-06-30,0.431,5.031,0.403,1.22,1061629.85,38,17,21,23,0,100.0,4.2,0,0,0.0,38,17,21,3.63,2.53,2.35
买Q0.15-0.80_卖Q0.85-0.95_4买2卖_基50000_增20000,广发约定净值转换,429,3.56,6.14,-0.71,2026-06-16,2026-06-30,0.424,5.018,0.398,1.22,1061477.95,38,17,21,23,0,100.0,4.18,0,0,0.0,38,17,21,3.63,2.51,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买2卖_基50000_增20000,广发约定净值转换,429,3.52,6.07,-0.71,2026-06-16,2026-06-30,0.393,4.959,0.362,1.21,1060759.76,38,17,21,22,0,100.0,4.28,0,0,0.0,38,17,21,3.63,2.44,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买3卖_基50000_增20000,广发约定净值转换,429,3.5,6.03,-0.81,2026-06-16,2026-06-30,0.365,4.323,0.319,1.25,1060380.64,38,17,21,23,0,100.0,4.0,0,0,0.0,38,17,21,3.63,2.4,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买3卖_基50000_增20000,广发约定净值转换,429,3.5,6.03,-0.81,2026-06-16,2026-06-30,0.365,4.323,0.319,1.25,1060380.64,38,17,21,23,0,100.0,4.0,0,0,0.0,38,17,21,3.63,2.4,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买2卖_基50000_增20000,广发约定净值转换,429,3.49,6.02,-0.81,2026-06-16,2026-06-30,0.358,4.312,0.315,1.25,1060228.74,38,17,21,23,0,100.0,3.98,0,0,0.0,38,17,21,3.63,2.39,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买2卖_基50000_增20000,广发约定净值转换,429,3.49,6.02,-0.81,2026-06-16,2026-06-30,0.358,4.312,0.315,1.25,1060228.74,38,17,21,23,0,100.0,3.98,0,0,0.0,38,17,21,3.63,2.39,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买3卖_基50000_增20000,广发约定净值转换,429,3.48,6.0,-0.71,2026-06-16,2026-06-30,0.361,4.902,0.333,1.21,1060055.62,38,17,21,22,0,100.0,4.16,0,0,0.0,38,17,21,3.63,2.37,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买3卖_基50000_增20000,广发约定净值转换,429,3.48,5.99,-0.81,2026-06-16,2026-06-30,0.348,4.294,0.307,1.25,1059999.78,38,17,21,23,0,100.0,3.97,0,0,0.0,38,17,21,3.63,2.36,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买2卖_基50000_增20000,广发约定净值转换,429,3.47,5.98,-0.81,2026-06-16,2026-06-30,0.341,4.283,0.303,1.25,1059847.87,38,17,21,23,0,100.0,3.95,0,0,0.0,38,17,21,3.63,2.35,2.35
买Q0.05-0.70_卖Q0.85-0.90_5买2卖_基50000_增20000,广发约定净值转换,429,3.45,5.95,-0.81,2026-06-16,2026-06-30,0.328,4.26,0.283,1.25,1059510.54,38,17,21,22,0,100.0,4.07,0,0,0.0,38,17,21,3.63,2.32,2.35
买Q0.15-0.70_卖Q0.85-0.90_5买2卖_基50000_增20000,广发约定净值转换,429,3.45,5.95,-0.81,2026-06-16,2026-06-30,0.328,4.26,0.283,1.25,1059510.54,38,17,21,22,0,100.0,4.07,0,0,0.0,38,17,21,3.63,2.32,2.35
买Q0.05-0.80_卖Q0.85-0.90_5买2卖_基50000_增20000,广发约定净值转换,429,3.43,5.91,-0.81,2026-06-16,2026-06-30,0.311,4.231,0.27,1.25,1059129.68,38,17,21,22,0,100.0,4.04,0,0,0.0,38,17,21,3.63,2.28,2.35
买Q0.05-0.70_卖Q0.85-0.95_4买3卖_基50000_增20000,广发约定净值转换,429,3.43,5.91,-0.65,2026-06-16,2026-06-30,0.34,5.304,0.298,1.15,1059182.24,35,16,19,20,0,100.0,4.44,0,0,0.0,35,16,19,3.63,2.28,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买3卖_基50000_增20000,广发约定净值转换,429,3.43,5.91,-0.65,2026-06-16,2026-06-30,0.34,5.304,0.298,1.15,1059182.24,35,16,19,20,0,100.0,4.44,0,0,0.0,35,16,19,3.63,2.28,2.35
买Q0.05-0.70_卖Q0.85-0.95_4买2卖_基50000_增20000,广发约定净值转换,429,3.42,5.9,-0.65,2026-06-16,2026-06-30,0.332,5.29,0.294,1.15,1059030.33,35,16,19,20,0,100.0,4.42,0,0,0.0,35,16,19,3.63,2.27,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买2卖_基50000_增20000,广发约定净值转换,429,3.42,5.9,-0.65,2026-06-16,2026-06-30,0.332,5.29,0.294,1.15,1059030.33,35,16,19,20,0,100.0,4.42,0,0,0.0,35,16,19,3.63,2.27,2.35
买Q0.05-0.80_卖Q0.85-0.95_4买3卖_基50000_增20000,广发约定净值转换,429,3.41,5.87,-0.65,2026-06-16,2026-06-30,0.321,5.268,0.285,1.15,1058801.37,35,16,19,20,0,100.0,4.41,0,0,0.0,35,16,19,3.63,2.24,2.35
买Q0.05-0.70_卖Q0.85-0.90_5买3卖_基50000_增20000,广发约定净值转换,429,3.41,5.87,-0.81,2026-06-16,2026-06-30,0.297,4.21,0.255,1.24,1058806.41,38,17,21,22,0,100.0,3.95,0,0,0.0,38,17,21,3.63,2.24,2.35
买Q0.15-0.70_卖Q0.85-0.90_5买3卖_基50000_增20000,广发约定净值转换,429,3.41,5.87,-0.81,2026-06-16,2026-06-30,0.297,4.21,0.255,1.24,1058806.41,38,17,21,22,0,100.0,3.95,0,0,0.0,38,17,21,3.63,2.24,2.35
买Q0.05-0.80_卖Q0.85-0.95_4买2卖_基50000_增20000,广发约定净值转换,429,3.4,5.86,-0.65,2026-06-16,2026-06-30,0.313,5.254,0.281,1.15,1058649.47,35,16,19,20,0,100.0,4.38,0,0,0.0,35,16,19,3.63,2.23,2.35
买Q0.05-0.80_卖Q0.85-0.90_5买3卖_基50000_增20000,广发约定净值转换,429,3.39,5.84,-0.81,2026-06-16,2026-06-30,0.28,4.181,0.243,1.24,1058425.55,38,17,21,22,0,100.0,3.92,0,0,0.0,38,17,21,3.63,2.21,2.35
买Q0.15-0.70_卖Q0.85-0.90_4买2卖_基50000_增20000,广发约定净值转换,429,3.38,5.82,-0.65,2026-06-16,2026-06-30,0.295,5.219,0.258,1.14,1058247.25,35,16,19,20,0,100.0,4.35,0,0,0.0,35,16,19,3.63,2.19,2.35
买Q0.15-0.80_卖Q0.85-0.95_5买3卖_基50000_增20000,广发约定净值转换,429,3.38,5.82,-0.98,2026-06-16,2026-06-30,0.266,3.459,0.221,1.28,1058261.75,38,17,21,23,0,100.0,3.72,0,0,0.0,38,17,21,3.63,2.19,2.35
买Q0.05-0.70_卖Q0.85-0.95_3买2卖_基80000_增20000,广发约定净值转换,429,3.38,5.82,-1.02,2026-06-12,2026-06-30,0.273,3.302,0.239,1.23,1058227.52,42,14,28,30,0,100.0,2.95,0,0,0.0,42,14,28,3.63,2.19,2.35
买Q0.15-0.70_卖Q0.85-0.95_3买2卖_基80000_增20000,广发约定净值转换,429,3.38,5.82,-1.02,2026-06-12,2026-06-30,0.273,3.302,0.239,1.23,1058227.52,42,14,28,30,0,100.0,2.95,0,0,0.0,42,14,28,3.63,2.19,2.35
买Q0.05-0.70_卖Q0.85-0.90_4买2卖_基50000_增20000,广发约定净值转换,429,3.38,5.82,-0.65,2026-06-16,2026-06-30,0.295,5.219,0.258,1.14,1058247.25,35,16,19,20,0,100.0,4.35,0,0,0.0,35,16,19,3.63,2.19,2.35
买Q0.15-0.80_卖Q0.85-0.95_5买2卖_基50000_增20000,广发约定净值转换,429,3.37,5.81,-0.98,2026-06-16,2026-06-30,0.259,3.45,0.217,1.28,1058109.85,38,17,21,23,0,100.0,3.7,0,0,0.0,38,17,21,3.63,2.18,2.35
买Q0.15-0.70_卖Q0.85-0.95_3买3卖_基80000_增20000,广发约定净值转换,429,3.37,5.81,-0.71,2026-06-16,2026-06-30,0.308,4.776,0.277,1.08,1058170.73,42,14,28,29,0,100.0,2.97,0,0,0.0,42,14,28,3.63,2.18,2.35
买Q0.05-0.70_卖Q0.85-0.95_3买3卖_基80000_增20000,广发约定净值转换,429,3.37,5.81,-0.71,2026-06-16,2026-06-30,0.308,4.776,0.277,1.08,1058170.73,42,14,28,29,0,100.0,2.97,0,0,0.0,42,14,28,3.63,2.18,2.35
买Q0.05-0.80_卖Q0.85-0.90_4买2卖_基50000_增20000,广发约定净值转换,429,3.36,5.78,-0.65,2026-06-16,2026-06-30,0.277,5.184,0.244,1.14,1057866.38,35,16,19,20,0,100.0,4.32,0,0,0.0,35,16,19,3.63,2.15,2.35
买Q0.05-0.80_卖Q0.85-0.95_3买2卖_基80000_增20000,广发约定净值转换,429,3.34,5.76,-1.02,2026-06-12,2026-06-30,0.246,3.266,0.217,1.23,1057618.14,42,14,28,30,0,100.0,2.91,0,0,0.0,42,14,28,3.63,2.13,2.35
买Q0.05-0.70_卖Q0.85-0.90_4买3卖_基50000_增20000,广发约定净值转换,429,3.34,5.75,-0.65,2026-06-16,2026-06-30,0.26,5.153,0.226,1.14,1057511.25,35,16,19,20,0,100.0,4.21,0,0,0.0,35,16,19,3.63,2.12,2.35
买Q0.15-0.70_卖Q0.85-0.90_4买3卖_基50000_增20000,广发约定净值转换,429,3.34,5.75,-0.65,2026-06-16,2026-06-30,0.26,5.153,0.226,1.14,1057511.25,35,16,19,20,0,100.0,4.21,0,0,0.0,35,16,19,3.63,2.12,2.35
买Q0.05-0.80_卖Q0.85-0.95_3买3卖_基80000_增20000,广发约定净值转换,429,3.34,5.75,-0.71,2026-06-16,2026-06-30,0.276,4.724,0.252,1.08,1057561.35,42,14,28,29,0,100.0,2.92,0,0,0.0,42,14,28,3.63,2.12,2.35
买Q0.15-0.80_卖Q0.85-0.95_4买3卖_基50000_增10000,广发约定净值转换,429,3.33,5.73,-0.66,2026-06-16,2026-06-30,0.266,5.04,0.25,1.07,1057340.78,37,17,20,22,0,100.0,3.87,0,0,0.0,37,17,20,3.63,2.1,2.35
买Q0.15-0.80_卖Q0.85-0.90_5买2卖_基50000_增20000,广发约定净值转换,429,3.33,5.73,-0.98,2026-06-16,2026-06-30,0.229,3.407,0.188,1.27,1057391.65,38,17,21,22,0,100.0,3.77,0,0,0.0,38,17,21,3.63,2.1,2.35
买Q0.15-0.80_卖Q0.85-0.95_4买2卖_基50000_增10000,广发约定净值转换,429,3.32,5.72,-0.66,2026-06-16,2026-06-30,0.262,5.032,0.246,1.07,1057257.5,37,17,20,22,0,100.0,3.85,0,0,0.0,37,17,20,3.63,2.09,2.35
买Q0.15-0.70_卖Q0.85-0.95_3买2卖_基80000_增10000,广发约定净值转换,429,3.32,5.71,-1.01,2026-06-12,2026-06-30,0.234,3.279,0.205,1.19,1057172.47,41,14,27,29,0,100.0,2.7,0,0,0.0,41,14,27,3.63,2.08,2.35
买Q0.05-0.70_卖Q0.85-0.90_3买2卖_基80000_增20000,广发约定净值转换,429,3.32,5.71,-0.71,2026-06-16,2026-06-30,0.258,4.695,0.23,1.07,1057188.55,42,14,28,29,0,100.0,2.85,0,0,0.0,42,14,28,3.63,2.08,2.35
买Q0.05-0.70_卖Q0.85-0.95_3买2卖_基80000_增10000,广发约定净值转换,429,3.32,5.71,-1.01,2026-06-12,2026-06-30,0.234,3.279,0.205,1.19,1057172.47,41,14,27,29,0,100.0,2.7,0,0,0.0,41,14,27,3.63,2.08,2.35
买Q0.15-0.70_卖Q0.85-0.90_3买2卖_基80000_增20000,广发约定净值转换,429,3.32,5.71,-0.71,2026-06-16,2026-06-30,0.258,4.695,0.23,1.07,1057188.55,42,14,28,29,0,100.0,2.85,0,0,0.0,42,14,28,3.63,2.08,2.35
买Q0.05-0.80_卖Q0.85-0.90_4买3卖_基50000_增20000,广发约定净值转换,429,3.31,5.71,-0.65,2026-06-16,2026-06-30,0.241,5.118,0.213,1.14,1057130.38,35,16,19,20,0,100.0,4.18,0,0,0.0,35,16,19,3.63,2.08,2.35
买Q0.15-0.70_卖Q0.85-0.95_3买3卖_基80000_增10000,广发约定净值转换,429,3.31,5.7,-0.7,2026-06-16,2026-06-30,0.263,4.764,0.239,1.03,1057101.02,42,14,28,29,0,100.0,2.97,0,0,0.0,42,14,28,3.63,2.07,2.35
买Q0.05-0.70_卖Q0.85-0.95_3买3卖_基80000_增10000,广发约定净值转换,429,3.31,5.7,-0.7,2026-06-16,2026-06-30,0.263,4.764,0.239,1.03,1057101.02,42,14,28,29,0,100.0,2.97,0,0,0.0,42,14,28,3.63,2.07,2.35
买Q0.15-0.80_卖Q0.85-0.90_5买3卖_基50000_增20000,广发约定净值转换,429,3.29,5.66,-0.98,2026-06-16,2026-06-30,0.198,3.366,0.163,1.27,1056687.52,38,17,21,22,0,100.0,3.65,0,0,0.0,38,17,21,3.63,2.03,2.35
买Q0.05-0.80_卖Q0.85-0.95_3买2卖_基80000_增10000,广发约定净值转换,429,3.28,5.65,-1.01,2026-06-12,2026-06-30,0.205,3.242,0.182,1.19,1056563.08,41,14,27,29,0,100.0,2.66,0,0,0.0,41,14,27,3.63,2.02,2.35
买Q0.05-0.80_卖Q0.85-0.90_3买2卖_基80000_增20000,广发约定净值转换,429,3.28,5.65,-0.71,2026-06-16,2026-06-30,0.226,4.643,0.205,1.07,1056579.16,42,14,28,29,0,100.0,2.8,0,0,0.0,42,14,28,3.63,2.02,2.35
买Q0.15-0.80_卖Q0.75-0.95_4买3卖_基80000_增20000,广发约定净值转换,429,3.28,5.64,-0.59,2026-06-22,2026-06-30,0.206,5.575,0.168,1.16,1056465.11,22,7,15,15,0,100.0,4.67,0,0,0.0,22,7,15,3.63,2.01,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买2卖_基50000_增10000,广发约定净值转换,429,3.28,5.64,-0.66,2026-06-16,2026-06-30,0.222,4.963,0.207,1.07,1056478.07,37,17,20,21,0,100.0,3.94,0,0,0.0,37,17,20,3.63,2.01,2.35
买Q0.05-0.80_卖Q0.85-0.95_3买3卖_基80000_增10000,广发约定净值转换,429,3.28,5.64,-0.7,2026-06-16,2026-06-30,0.23,4.711,0.212,1.04,1056491.64,42,14,28,29,0,100.0,2.92,0,0,0.0,42,14,28,3.63,2.01,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买2卖_基50000_增10000,广发约定净值转换,429,3.27,5.63,-0.74,2026-06-16,2026-06-30,0.209,4.43,0.185,1.1,1056323.63,37,17,20,22,0,100.0,3.7,0,0,0.0,37,17,20,3.63,2.0,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买3卖_基50000_增10000,广发约定净值转换,429,3.27,5.63,-0.74,2026-06-16,2026-06-30,0.213,4.437,0.188,1.1,1056406.9,37,17,20,22,0,100.0,3.72,0,0,0.0,37,17,20,3.63,2.0,2.35
买Q0.05-0.70_卖Q0.75-0.95_5买3卖_基50000_增20000,广发约定净值转换,429,3.27,5.63,-0.81,2026-06-16,2026-06-30,0.189,4.018,0.165,1.23,1056337.29,42,19,23,25,0,100.0,3.49,0,0,0.0,42,19,23,3.63,2.0,2.35
买Q0.05-0.70_卖Q0.85-0.95_5买3卖_基50000_增10000,广发约定净值转换,429,3.27,5.63,-0.74,2026-06-16,2026-06-30,0.213,4.437,0.188,1.1,1056406.9,37,17,20,22,0,100.0,3.72,0,0,0.0,37,17,20,3.63,2.0,2.35
买Q0.15-0.70_卖Q0.85-0.95_5买2卖_基50000_增10000,广发约定净值转换,429,3.27,5.63,-0.74,2026-06-16,2026-06-30,0.209,4.43,0.185,1.1,1056323.63,37,17,20,22,0,100.0,3.7,0,0,0.0,37,17,20,3.63,2.0,2.35
买Q0.15-0.70_卖Q0.75-0.95_5买3卖_基50000_增20000,广发约定净值转换,429,3.27,5.63,-0.81,2026-06-16,2026-06-30,0.189,4.018,0.165,1.23,1056337.29,42,19,23,25,0,100.0,3.49,0,0,0.0,42,19,23,3.63,2.0,2.35
买Q0.15-0.70_卖Q0.75-0.95_5买2卖_基50000_增20000,广发约定净值转换,429,3.26,5.62,-0.81,2026-06-16,2026-06-30,0.185,4.013,0.163,1.23,1056264.02,42,19,23,25,0,100.0,3.48,0,0,0.0,42,19,23,3.63,1.99,2.35
买Q0.05-0.70_卖Q0.75-0.95_5买2卖_基50000_增20000,广发约定净值转换,429,3.26,5.62,-0.81,2026-06-16,2026-06-30,0.185,4.013,0.163,1.23,1056264.02,42,19,23,25,0,100.0,3.48,0,0,0.0,42,19,23,3.63,1.99,2.35
买Q0.05-0.70_卖Q0.85-0.90_3买2卖_基80000_增10000,广发约定净值转换,429,3.26,5.61,-0.7,2026-06-16,2026-06-30,0.211,4.682,0.19,1.03,1056118.84,42,14,28,29,0,100.0,2.85,0,0,0.0,42,14,28,3.63,1.98,2.35
买Q0.05-0.70_卖Q0.85-0.90_3买3卖_基80000_增20000,广发约定净值转换,429,3.26,5.61,-0.71,2026-06-16,2026-06-30,0.206,4.61,0.183,1.07,1056167.59,42,14,28,29,0,100.0,2.77,0,0,0.0,42,14,28,3.63,1.98,2.35
买Q0.15-0.70_卖Q0.85-0.90_3买3卖_基80000_增20000,广发约定净值转换,429,3.26,5.61,-0.71,2026-06-16,2026-06-30,0.206,4.61,0.183,1.07,1056167.59,42,14,28,29,0,100.0,2.77,0,0,0.0,42,14,28,3.63,1.98,2.35
买Q0.15-0.70_卖Q0.85-0.90_3买2卖_基80000_增10000,广发约定净值转换,429,3.26,5.61,-0.7,2026-06-16,2026-06-30,0.211,4.682,0.19,1.03,1056118.84,42,14,28,29,0,100.0,2.85,0,0,0.0,42,14,28,3.63,1.98,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买3卖_基50000_增10000,广发约定净值转换,429,3.25,5.6,-0.74,2026-06-16,2026-06-30,0.194,4.405,0.173,1.1,1056026.04,37,17,20,22,0,100.0,3.69,0,0,0.0,37,17,20,3.63,1.97,2.35
买Q0.15-0.80_卖Q0.75-0.95_4买2卖_基80000_增20000,广发约定净值转换,429,3.25,5.6,-0.59,2026-06-22,2026-06-30,0.186,5.535,0.152,1.16,1056048.43,19,6,13,13,0,100.0,5.31,0,0,0.0,19,6,13,3.63,1.97,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买2卖_基50000_增10000,广发约定净值转换,429,3.25,5.59,-0.74,2026-06-16,2026-06-30,0.189,4.399,0.169,1.1,1055942.76,37,17,20,22,0,100.0,3.67,0,0,0.0,37,17,20,3.63,1.96,2.35
买Q0.15-0.80_卖Q0.75-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,3.24,5.58,-0.59,2026-06-22,2026-06-30,0.176,5.514,0.143,1.15,1055837.35,22,7,15,15,0,100.0,4.59,0,0,0.0,22,7,15,3.63,1.95,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买3卖_基50000_增10000,广发约定净值转换,429,3.24,5.57,-0.66,2026-06-16,2026-06-30,0.187,4.905,0.174,1.07,1055804.79,37,17,20,21,0,100.0,3.81,0,0,0.0,37,17,20,3.63,1.94,2.35
买Q0.15-0.80_卖Q0.85-0.95_3买3卖_基80000_增20000,广发约定净值转换,429,3.23,5.56,-0.89,2026-06-16,2026-06-30,0.173,3.618,0.147,1.1,1055630.21,42,14,28,29,0,100.0,2.72,0,0,0.0,42,14,28,3.63,1.93,2.35
买Q0.15-0.80_卖Q0.85-0.95_3买2卖_基80000_增20000,广发约定净值转换,429,3.23,5.56,-1.21,2026-06-12,2026-06-30,0.155,2.674,0.129,1.26,1055687.0,42,14,28,30,0,100.0,2.71,0,0,0.0,42,14,28,3.63,1.93,2.35
买Q0.15-0.70_卖Q0.85-0.90_5买2卖_基50000_增10000,广发约定净值转换,429,3.22,5.55,-0.74,2026-06-16,2026-06-30,0.17,4.368,0.149,1.09,1055544.19,37,17,20,21,0,100.0,3.78,0,0,0.0,37,17,20,3.63,1.92,2.35
买Q0.05-0.70_卖Q0.85-0.90_5买2卖_基50000_增10000,广发约定净值转换,429,3.22,5.55,-0.74,2026-06-16,2026-06-30,0.17,4.368,0.149,1.09,1055544.19,37,17,20,21,0,100.0,3.78,0,0,0.0,37,17,20,3.63,1.92,2.35
买Q0.05-0.80_卖Q0.85-0.90_3买3卖_基80000_增20000,广发约定净值转换,429,3.22,5.55,-0.71,2026-06-16,2026-06-30,0.174,4.558,0.156,1.07,1055558.2,42,14,28,29,0,100.0,2.72,0,0,0.0,42,14,28,3.63,1.92,2.35
买Q0.15-0.70_卖Q0.75-0.90_5买2卖_基50000_增20000,广发约定净值转换,429,3.23,5.55,-0.81,2026-06-16,2026-06-30,0.155,3.964,0.136,1.22,1055586.64,42,19,23,25,0,100.0,3.37,0,0,0.0,42,19,23,3.63,1.92,2.35
买Q0.05-0.70_卖Q0.75-0.90_5买2卖_基50000_增20000,广发约定净值转换,429,3.23,5.55,-0.81,2026-06-16,2026-06-30,0.155,3.964,0.136,1.22,1055586.64,42,19,23,25,0,100.0,3.37,0,0,0.0,42,19,23,3.63,1.92,2.35
买Q0.05-0.80_卖Q0.85-0.90_3买2卖_基80000_增10000,广发约定净值转换,429,3.22,5.55,-0.7,2026-06-16,2026-06-30,0.177,4.628,0.162,1.03,1055509.45,42,14,28,29,0,100.0,2.8,0,0,0.0,42,14,28,3.63,1.92,2.35
买Q0.15-0.70_卖Q0.75-0.95_4买3卖_基50000_增20000,广发约定净值转换,429,3.22,5.54,-0.65,2026-06-16,2026-06-30,0.161,4.951,0.145,1.12,1055447.33,39,18,21,23,0,100.0,3.72,0,0,0.0,39,18,21,3.63,1.91,2.35
买Q0.15-0.80_卖Q0.75-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,3.22,5.54,-0.59,2026-06-22,2026-06-30,0.145,5.482,0.126,1.28,1055491.55,25,8,17,18,0,100.0,4.05,0,0,0.0,25,8,17,3.63,1.91,2.35
买Q0.05-0.70_卖Q0.75-0.95_4买3卖_基50000_增20000,广发约定净值转换,429,3.22,5.54,-0.65,2026-06-16,2026-06-30,0.161,4.951,0.145,1.12,1055447.33,39,18,21,23,0,100.0,3.72,0,0,0.0,39,18,21,3.63,1.91,2.35
买Q0.05-0.70_卖Q0.75-0.95_4买2卖_基50000_增20000,广发约定净值转换,429,3.21,5.53,-0.65,2026-06-16,2026-06-30,0.157,4.945,0.143,1.12,1055374.06,39,18,21,23,0,100.0,3.71,0,0,0.0,39,18,21,3.63,1.9,2.35
买Q0.15-0.70_卖Q0.75-0.95_4买2卖_基50000_增20000,广发约定净值转换,429,3.21,5.53,-0.65,2026-06-16,2026-06-30,0.157,4.945,0.143,1.12,1055374.06,39,18,21,23,0,100.0,3.71,0,0,0.0,39,18,21,3.63,1.9,2.35
买Q0.05-0.70_卖Q0.85-0.95_4买3卖_基50000_增10000,广发约定净值转换,429,3.21,5.52,-0.61,2026-06-16,2026-06-30,0.17,5.298,0.151,1.01,1055302.51,34,16,18,19,0,100.0,4.07,0,0,0.0,34,16,18,3.63,1.89,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买2卖_基50000_增10000,广发约定净值转换,429,3.2,5.52,-0.61,2026-06-16,2026-06-30,0.166,5.29,0.147,1.01,1055219.23,34,16,18,19,0,100.0,4.05,0,0,0.0,34,16,18,3.63,1.89,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买3卖_基50000_增10000,广发约定净值转换,429,3.21,5.52,-0.61,2026-06-16,2026-06-30,0.17,5.298,0.151,1.01,1055302.51,34,16,18,19,0,100.0,4.07,0,0,0.0,34,16,18,3.63,1.89,2.35
买Q0.05-0.70_卖Q0.85-0.95_4买2卖_基50000_增10000,广发约定净值转换,429,3.2,5.52,-0.61,2026-06-16,2026-06-30,0.166,5.29,0.147,1.01,1055219.23,34,16,18,19,0,100.0,4.05,0,0,0.0,34,16,18,3.63,1.89,2.35
买Q0.05-0.80_卖Q0.85-0.90_5买2卖_基50000_增10000,广发约定净值转换,429,3.2,5.51,-0.74,2026-06-16,2026-06-30,0.15,4.337,0.133,1.09,1055163.32,37,17,20,21,0,100.0,3.75,0,0,0.0,37,17,20,3.63,1.88,2.35
买Q0.05-0.70_卖Q0.85-0.90_3买3卖_基80000_增10000,广发约定净值转换,429,3.2,5.5,-0.7,2026-06-16,2026-06-30,0.156,4.595,0.14,1.03,1055097.88,42,14,28,29,0,100.0,2.77,0,0,0.0,42,14,28,3.63,1.87,2.35
买Q0.15-0.70_卖Q0.85-0.90_3买3卖_基80000_增10000,广发约定净值转换,429,3.2,5.5,-0.7,2026-06-16,2026-06-30,0.156,4.595,0.14,1.03,1055097.88,42,14,28,29,0,100.0,2.77,0,0,0.0,42,14,28,3.63,1.87,2.35
买Q0.05-0.70_卖Q0.75-0.90_5买3卖_基50000_增20000,广发约定净值转换,429,3.19,5.49,-0.81,2026-06-16,2026-06-30,0.127,3.921,0.111,1.22,1054973.54,42,19,23,25,0,100.0,3.33,0,0,0.0,42,19,23,3.63,1.86,2.35
买Q0.05-0.80_卖Q0.85-0.95_4买3卖_基50000_增10000,广发约定净值转换,429,3.19,5.49,-0.61,2026-06-16,2026-06-30,0.149,5.259,0.134,1.01,1054921.64,34,16,18,19,0,100.0,4.04,0,0,0.0,34,16,18,3.63,1.86,2.35
