策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.05-0.80_卖Q0.85-0.90_5买3卖_基80000_增20000,广发约定净值转换,429,4.38,7.57,-1.23,2026-06-16,2026-06-30,0.732,3.575,0.648,1.8,1075794.89,51,17,34,38,0,100.0,3.42,0,0,0.0,51,17,34,3.63,3.94,2.35
买Q0.05-0.70_卖Q0.85-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,4.38,7.56,-1.0,2026-06-16,2026-06-30,0.794,4.354,0.713,1.65,1075684.53,48,16,32,35,0,100.0,3.67,0,0,0.0,48,16,32,3.63,3.93,2.35
买Q0.15-0.70_卖Q0.85-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,4.38,7.56,-1.0,2026-06-16,2026-06-30,0.794,4.354,0.713,1.65,1075684.53,48,16,32,35,0,100.0,3.67,0,0,0.0,48,16,32,3.63,3.93,2.35
买Q0.15-0.80_卖Q0.85-0.95_4买2卖_基80000_增10000,广发约定净值转换,429,4.37,7.55,-1.36,2026-06-12,2026-06-30,0.71,3.219,0.69,1.83,1075511.58,49,17,32,37,0,100.0,3.41,0,0,0.0,49,17,32,3.63,3.92,2.35
买Q0.15-0.80_卖Q0.85-0.95_5买3卖_基80000_增20000,广发约定净值转换,429,4.37,7.55,-1.44,2026-06-16,2026-06-30,0.681,3.025,0.604,1.92,1075578.72,50,17,33,39,0,100.0,3.38,0,0,0.0,50,17,33,3.63,3.92,2.35
买Q0.05-0.80_卖Q0.85-0.95_4买2卖_基80000_增20000,广发约定净值转换,429,4.36,7.53,-1.32,2026-06-12,2026-06-30,0.712,3.301,0.661,1.81,1075358.12,48,16,32,37,0,100.0,3.59,0,0,0.0,48,16,32,3.63,3.9,2.35
买Q0.05-0.80_卖Q0.85-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,4.34,7.5,-1.01,2026-06-16,2026-06-30,0.773,4.317,0.702,1.65,1075075.14,48,16,32,35,0,100.0,3.63,0,0,0.0,48,16,32,3.63,3.87,2.35
买Q0.15-0.80_卖Q0.85-0.95_5买2卖_基80000_增20000,广发约定净值转换,429,4.33,7.49,-1.76,2026-06-12,2026-06-30,0.616,2.466,0.552,2.07,1074954.93,50,17,33,41,0,100.0,3.27,0,0,0.0,50,17,33,3.63,3.86,2.35
买Q0.15-0.80_卖Q0.85-0.90_4买2卖_基80000_增10000,广发约定净值转换,429,4.33,7.48,-1.04,2026-06-16,2026-06-30,0.781,4.15,0.744,1.62,1074888.99,50,17,33,38,0,100.0,3.65,0,0,0.0,50,17,33,3.63,3.85,2.35
买Q0.15-0.70_卖Q0.75-0.95_5买3卖_基80000_增20000,广发约定净值转换,429,4.32,7.47,-1.23,2026-06-16,2026-06-30,0.703,3.513,0.628,1.79,1074729.07,57,19,38,42,0,100.0,3.07,0,0,0.0,57,19,38,3.63,3.84,2.35
