code,name,data_source,rating,risk_pass,risk_score,risk_fail_dims,bottom_status,bottom_score,pct_3y,pct_long,dd_from_peak,max_dd_3y,dev_ma250,ann_vol,vol_surge,newlow_252,trend_2y,stabilized,jump_count,years_history,nav_now,val_hits,risk_reasons
021093,广发中证港股通互联网ETF发起式联接C,real,★★★ 重点抄底,True,10,预警,confirmed,85.6,0.042704626334519574,0.042704626334519574,-0.4588149329081972,-0.5237146273415704,-0.24988956842720222,0.29834124107845067,1.0936243738039708,0.01984126984126984,-0.004329156634553022,False,0,2.2301587301587302,0.8147,3,⚠成立2.2年(<3年)，3年分位基于有限历史，建议对照老份额/指数
017963,广发医药创新混合发起式C,real,★ 观察名单,True,10,预警,watch,73.7,0.19722222222222222,0.19722222222222222,-0.4347134695800695,-0.47122916543966076,-0.1944610320254474,0.33688189564465254,1.047242423252416,0.0,0.02351739746426773,True,0,2.857142857142857,0.9598,3,⚠成立2.9年(<3年)，3年分位基于有限历史，建议对照老份额/指数
013711,广发成长新动能混合C,real,★ 观察名单,True,0,-,watch,68.8,0.23412698412698413,0.14762301918265222,-0.27428276421565023,-0.3312277291869128,-0.18645829437343642,0.23365046692303765,1.4025285386586297,0.0,0.010582305279822624,True,0,4.757936507936508,0.984,3,
017513,广发北证50成份指数C,real,— 未到底部,True,0,-,none,42.0,0.45105820105820105,0.5368303571428571,-0.32257896382779105,-0.4220349187236604,-0.19693509512238772,0.28691611129576283,1.0450685756717675,0.0,0.3018237505841883,False,0,3.5555555555555554,1.2997,2,
017476,广发集轩债券C,real,— 未到底部,True,10,预警,none,30.0,0.7448275862068966,0.7448275862068966,-0.03972457627118642,-0.06629590395480223,-0.009962652243303172,0.04076121589220423,1.2536198736811275,0.0,0.047966228247696474,True,0,2.876984126984127,1.0878,0,⚠成立2.9年(<3年)，3年分位基于有限历史，建议对照老份额/指数
019671,广发中证香港创新药ETF发起式联接(QDII)C,real,— 未到底部,True,10,预警,none,30.0,0.8441558441558441,0.8441558441558441,-0.15223113178674175,-0.36597887254418004,0.043177294111317766,0.33778078757193447,1.0900088606540501,0.0,0.3906176215803805,True,0,2.75,1.385,0,⚠成立2.8年(<3年)，3年分位基于有限历史，建议对照老份额/指数
011062,广发中债7-10年国开债指数E,real,— 未到底部,True,0,-,none,30.0,0.9920634920634921,0.9952380952380953,-0.0008721564067155629,-0.08738163061051651,0.022770088680084788,0.014958230914719683,0.7041512532654643,0.0,0.037264510408745455,True,0,5.464285714285714,1.3747,0,
270002,广发稳健增长A,real,— 未到底部,True,0,-,none,30.0,0.7552910052910053,0.7611111111111111,-0.10268840899074472,-0.126983252534156,-0.022744664063240383,0.14210069427091926,1.1939318709202633,0.0,0.06998383014920795,True,0,7.408730158730159,1.6288,0,
016278,广发美国房地产指数人民币(QDII)C,real,— 未到底部,True,0,-,none,30.0,0.75,0.806580259222333,-0.0703066566940912,-0.19970082273747192,0.007445621234976274,0.13389135106506944,1.1289197842179344,0.0,0.012290506351706254,True,0,3.9801587301587302,1.243,0,
021277,广发全球精选股票(QDII)人民币C,real,— 未到底部,True,10,预警,none,30.0,0.8741379310344828,0.8741379310344828,-0.19254206818151776,-0.2567447885685583,0.1374601524803798,0.30245356104236915,1.4382629627596166,0.0,0.34366379919710677,True,0,2.3015873015873014,6.1085,0,⚠成立2.3年(<3年)，3年分位基于有限历史，建议对照老份额/指数
011061,广发安悦回报混合C,real,— 未到底部,True,0,-,none,30.0,0.843915343915344,0.9063492063492063,-0.014111960081085284,-0.0164509589895524,0.0023891574091403633,0.026682610581700326,0.9744217255145384,0.0,0.03178154687158696,True,0,5.503968253968254,1.2645,0,
006479,广发纳指100ETF联接C(人民币)(QDII),real,— 未到底部,True,0,-,none,30.0,0.9298941798941799,0.957936507936508,-0.050770797319377725,-0.2255163478393415,0.07773822655151275,0.19821847248156982,1.186719749520246,0.0,0.22115916318408835,True,0,7.396825396825397,8.017,0,
022005,广发恒生科技ETF联接(QDII)F,real,✗ 排雷剔除,False,25,D1,confirmed,83.8,0.061855670103092786,0.061855670103092786,-0.323405037690752,-0.3639455782312926,-0.153281086009042,0.2648255365308297,1.017704146625557,0.0,0.0976552349915909,False,0,1.9246031746031746,0.736,3,成立不足2年（1.9年），历史数据不足以定位底部
021400,广发中证红利ETF发起式联接C,real,✗ 排雷剔除,False,25,D1,none,30.0,0.7128099173553719,0.7128099173553719,-0.058190001607458575,-0.1655682366179071,0.009464835301199903,0.1432084692006635,1.2099990853635079,0.0,0.08623442389124203,True,0,1.9206349206349207,1.1718,0,成立不足2年（1.9年），历史数据不足以定位底部
022720,广发中证国新港股通央企红利ETF发起式联接C,real,✗ 排雷剔除,False,25,D1,none,30.0,0.45153061224489793,0.45153061224489793,-0.1017465149815735,-0.1873898413715751,-0.026708619277302725,0.14734085071283673,1.04202021423247,0.0,0.07651680666182159,True,0,1.5555555555555556,1.1212,0,成立不足2年（1.6年），历史数据不足以定位底部
021778,广发纳指100ETF联接(QDII)人民币F,real,✗ 排雷剔除,False,25,D1,none,30.0,0.8937875751503006,0.8937875751503006,-0.050784533482768346,-0.22546602525556225,0.0777690633733581,0.19820297116179936,1.1867839854681521,0.0,0.1922700807204616,True,0,1.9801587301587302,8.1306,0,成立不足2年（2.0年），历史数据不足以定位底部
