基金代码,基金名称,开仓次数,买入笔数,卖出笔数,区间收益%,最大回撤%,胜回合,负回合,平均持有天数,终止触发,止损次数,期末资产
021093,广发中证港股通互联网ETF发起式联接C,1,1,2,1.28,-1.38,1,0,41.0,0,0,101282.0
013711,广发成长新动能混合C,2,1,2,1.61,-2.36,1,0,89.0,0,0,101612.0
